상품명,제조사,칩셋명,가격,판매몰,출시일
SAPPHIRE 라데온 RX 7600 PULSE OC D6 8GB,SAPPHIRE,RX 7600,366460.0,185,2023-05-01
SAPPHIRE 라데온 RX 7900 XTX NITRO+ Vapor-X OC D6 24GB,SAPPHIRE,RX 7900 XTX,1516060.0,250,2023-01-01
STCOM 라데온 RX 580 2048SP D5 8GB,STCOM,RX 580 2048SP,123210.0,9,2023-09-01
SAPPHIRE 라데온 RX 7800 XT NITRO+ OC D6 16GB,SAPPHIRE,RX 7800 XT,766040.0,173,2023-09-01
ASUS DUAL 라데온 RX 6600 D6 8GB 대원씨티에스,ASUS,RX 6600,277170.0,38,2021-11-01
XFX 라데온 RX 6600 SWFT 210 CORE D6 8GB,XFX,RX 6600,260090.0,180,2021-10-01
SAPPHIRE 라데온 RX 6600 PULSE D6 8GB Dual-X,SAPPHIRE,RX 6600,269050.0,6,2021-10-01
ASRock 라데온 RX 6600 CHALLENGER D D6 8GB 대원씨티에스,ASRock,RX 6600,239000.0,173,2021-10-01
AMD 라데온 PRO W5500 D6 8GB 대원씨티에스,AMD,W5500,462750.0,131,2021-10-01
SAPPHIRE 라데온 RX 7800 XT PULSE D6 16GB,SAPPHIRE,RX 7800 XT,731570.0,150,2023-09-01
XFX 라데온 RX 7900 XT D6 20GB,XFX,RX 7900 XT,1261610.0,96,2022-12-01
SAPPHIRE 라데온 RX 7800 XT PURE OC D6 16GB,SAPPHIRE,RX 7800 XT,778570.0,119,2023-09-01
STCOM 라데온 RX 580 2048SP Gaming D5 8GB,STCOM,RX 580 2048SP,123210.0,9,2023-10-01
ASRock 라데온 RX 7800 XT CHALLENGER OC D6 16GB 대원씨티에스,ASRock,RX 7800 XT,678000.0,53,2023-11-01
PowerColor 라데온 RX 6700 XT Fighter D6 12GB,PowerColor,RX 6700 XT,423150.0,136,2023-05-01
XFX 라데온 RX 7600 QICK 308 BLACK D6 8GB,XFX,RX 7600,503000.0,1,2023-05-01
XFX 라데온 RX 7800 XT MERC 319 BLACK D6 16GB,XFX,RX 7800 XT,782790.0,147,2023-09-01
MSI 라데온 RX 6600 메크 2X D6 8GB,MSI,RX 6600,250760.0,42,2021-10-01
ASRock 라데온 RX 7800 XT 스틸레전드 OC D6 16GB 디앤디컴,ASRock,RX 7800 XT,774510.0,154,2023-09-01
SAPPHIRE 라데온 RX 7700 XT PULSE D6 12GB,SAPPHIRE,RX 7700 XT,638410.0,142,2023-09-01
ASRock 라데온 RX 7600 CHALLENGER OC D6 8GB 대원씨티에스,ASRock,RX 7600,357700.0,133,2023-08-01
XFX 라데온 RX 7800 XT QICK 319 CORE D6 16GB,XFX,RX 7800 XT,764450.0,139,2023-09-01
ASRock 라데온 RX 7600 스틸레전드 OC D6 8GB 에즈윈,ASRock,RX 7600,408510.0,168,2023-06-01
SAPPHIRE 라데온 RX 7900 XT NITRO+ Vapor-X OC D6 20GB,SAPPHIRE,RX 7900 XT,1282190.0,193,2023-04-01
액슬 라데온 RX 580 2048SP D5 8GB R2 에즈윈,액슬,RX 580 2048SP,121600.0,110,2023-11-01
ASRock 라데온 RX 7900 XTX Taichi White OC D6 24GB 디앤디컴,ASRock,RX 7900 XTX,1634230.0,129,2023-05-01
PowerColor 라데온 RX 7800 XT Hellhound D6 16GB,PowerColor,RX 7800 XT,747490.0,116,2023-09-01
SAPPHIRE 라데온 RX 7700 XT PURE OC D6 12GB,SAPPHIRE,RX 7700 XT,670560.0,138,2023-09-01
XFX 라데온 RX 7600 SWFT 210 CORE D6 8GB,XFX,RX 7600,384160.0,155,2023-05-01
SAPPHIRE 라데온 RX 7900 XTX PULSE OC D6 24GB,SAPPHIRE,RX 7900 XTX,1521520.0,200,2023-01-01
ASUS TUF Gaming 라데온 RX 7800 XT O16G OC D6 16GB White,ASUS,RX 7800 XT,807750.0,123,2023-09-01
PowerColor 라데온 RX 7900 XTX Hellhound D6 24GB,PowerColor,RX 7900 XTX,1518390.0,85,2023-10-01
PowerColor 라데온 RX 6600 Fighter D6 8GB,PowerColor,RX 6600,255050.0,17,2021-10-01
GIGABYTE 라데온 RX 6500 XT EAGLE D6 4GB 제이씨현,GIGABYTE,RX 6500 XT,175000.0,164,2022-01-01
XFX 라데온 RX 7700 XT QICK 319 BLACK D6 12GB,XFX,RX 7700 XT,668470.0,136,2023-09-01
PowerColor 라데온 RX 7600 Fighter D6 8GB,PowerColor,RX 7600,383490.0,122,2023-07-01
GIGABYTE 라데온 RX 580 Gaming D5 8GB 피씨디렉트,GIGABYTE,RX 580,187220.0,199,2021-04-01
ASRock 라데온 RX 7600 스틸레전드 OC D6 8GB 디앤디컴,ASRock,RX 7600,439190.0,120,2023-06-01
ASRock 라데온 RX 7600 CHALLENGER OC D6 8GB 디앤디컴,ASRock,RX 7600,396330.0,136,2023-06-01
ASRock 라데온 RX 7800 XT CHALLENGER OC D6 16GB 에즈윈,ASRock,RX 7800 XT,729130.0,110,2023-10-01
ASRock 라데온 RX 7800 XT CHALLENGER OC D6 16GB 디앤디컴,ASRock,RX 7800 XT,756790.0,136,2023-09-01
XFX 라데온 RX 6600 XT QICK 308 BLACK D6 8GB,XFX,RX 6600 XT,376200.0,111,2021-08-01
PowerColor 라데온 RX 7800 XT Red Devil D6 16GB,PowerColor,RX 7800 XT,828490.0,117,2023-09-01
ASRock 라데온 RX 7700 XT 스틸레전드 OC D6 12GB 디앤디컴,ASRock,RX 7700 XT,704990.0,130,2023-09-01
ASRock 라데온 RX 7700 XT CHALLENGER OC D6 12GB 디앤디컴,ASRock,RX 7700 XT,653290.0,131,2023-09-01
GIGABYTE 라데온 RX 7900 XTX Gaming OC D6 24GB 피씨디렉트,GIGABYTE,RX 7900 XTX,1545000.0,45,2022-12-01
ASRock 라데온 RX 7700 XT CHALLENGER OC D6 12GB 에즈윈,ASRock,RX 7700 XT,639700.0,103,2023-10-01
ASRock 라데온 RX 7600 스틸레전드 OC D6 8GB 대원씨티에스,ASRock,RX 7600,425780.0,131,2023-08-01
XFX 라데온 RX 6700 SWFT 309 CORE D6 10GB,XFX,RX 6700,425750.0,149,2023-03-01
액슬 라데온 RX 580 2048SP D5 8GB 에즈윈,액슬,RX 580 2048SP,129400.0,51,2023-10-01
ASRock 라데온 RX 7700 XT 스틸레전드 OC D6 12GB 에즈윈,ASRock,RX 7700 XT,674300.0,103,2023-10-01
GIGABYTE 라데온 RX 7700 XT Gaming OC D6 12GB 제이씨현,GIGABYTE,RX 7700 XT,675120.0,117,2023-09-01
ASUS TUF Gaming 라데온 RX 7700 XT O12G OC D6 12GB,ASUS,RX 7700 XT,701880.0,115,2023-09-01
SAPPHIRE 라데온 RX 7900 XTX D6 24GB,SAPPHIRE,RX 7900 XTX,,0,2022-12-01
ASUS TUF Gaming 라데온 RX 7800 XT O16G OC D6 16GB,ASUS,RX 7800 XT,788580.0,81,2023-09-01
PowerColor 라데온 RX 7700 XT Fighter D6 12GB,PowerColor,RX 7700 XT,658280.0,102,2023-09-01
XFX 라데온 RX 6800 SWFT 319 CORE D6 16GB,XFX,RX 6800,632690.0,22,2021-10-01
XFX 라데온 RX 550 D5 4GB,XFX,RX 550,94160.0,22,2023-08-01
SAPPHIRE 라데온 RX 6400 PULSE D6 4GB,SAPPHIRE,RX 6400,181000.0,209,2022-04-01
SAPPHIRE 라데온 RX 7900 XT D6 20GB,SAPPHIRE,RX 7900 XT,1506590.0,5,2022-12-01
GIGABYTE 라데온 RX 7900 XT D6 20GB 피씨디렉트,GIGABYTE,RX 7900 XT,1234990.0,1,2022-12-01
ASRock 라데온 RX 7800 XT 스틸레전드 OC D6 16GB 에즈윈,ASRock,RX 7800 XT,844840.0,9,2023-10-01
XFX 라데온 RX 7900 XTX MERC 310 BLACK D6 24GB,XFX,RX 7900 XTX,1682060.0,4,2022-12-01
GIGABYTE 라데온 RX 6700 XT EAGLE D6 12GB 피씨디렉트,GIGABYTE,RX 6700 XT,477400.0,1,2021-03-01
ASUS 라데온 RX 7900 XT D6 20GB 대원씨티에스,ASUS,RX 7900 XT,1313200.0,5,2022-12-01
ASUS DUAL 라데온 RX 6700 XT D6 12GB 대원씨티에스,ASUS,RX 6700 XT,625220.0,2,2021-03-01
GIGABYTE 라데온 RX 7900 XT Gaming OC D6 20GB 피씨디렉트,GIGABYTE,RX 7900 XT,1260000.0,4,2022-12-01
