iter	RMSE
0	813.4199599
1	794.0588803
2	777.4670936
3	760.0130613
4	743.6686867
5	726.5932081
6	710.8344377
7	696.1242728
8	681.3820876
9	666.2968883
10	653.288585
11	639.4790553
12	626.4257782
13	613.3034533
14	600.4798782
15	588.2822246
16	577.6811582
17	566.2493251
18	555.56811
19	544.5147913
20	534.4944888
21	524.7399265
22	516.3358379
23	507.8616849
24	498.8066076
25	491.9012127
26	484.5032994
27	476.2272841
28	468.5278252
29	461.0027746
30	454.576451
31	448.2851716
32	441.6678044
33	435.2965945
34	429.367506
35	423.1567798
36	417.6746974
37	412.9283972
38	407.6288627
39	402.7511207
40	397.7714494
41	392.742915
42	387.9496232
43	383.0335647
44	378.9508872
45	374.9334219
46	370.7749119
47	367.0000287
48	363.2117826
49	359.946977
50	356.7240312
51	353.896557
52	350.7877565
53	347.7507452
54	345.2325984
55	342.4430519
56	339.6798934
57	337.2250619
58	335.4228914
59	332.7500349
60	330.6005231
61	328.3112899
62	326.0957538
63	324.0140819
64	322.4270068
65	320.3984128
66	318.5875486
67	316.9979719
68	315.3869633
69	313.8180324
70	312.3695133
71	310.8655486
72	309.5201279
73	308.2093807
74	307.051917
75	305.6073443
76	304.5852182
77	303.1637951
78	302.0629554
79	300.7549765
80	299.5240064
81	298.3805083
82	297.5495345
83	296.3775215
84	295.3354303
85	294.3968611
86	293.4989365
87	292.6009444
88	291.8732314
89	290.9297839
90	290.3530761
91	289.5619466
92	288.9722833
93	288.353104
94	287.6615619
95	286.618239
96	286.05267
97	285.5125701
98	285.1748569
99	284.2284455
100	283.3065698
101	282.8316395
102	282.281255
103	281.7100303
104	281.1616283
105	280.6333541
106	280.0744826
107	279.5454299
108	278.7435049
109	278.235997
110	277.7937334
111	277.3630378
112	276.7995502
113	276.2399883
114	275.7965725
115	275.0814312
116	274.6894226
117	274.2160892
118	273.8123486
119	273.3930585
120	272.9276971
121	272.4285062
122	272.0201428
123	271.6201262
124	271.2671741
125	270.8018573
126	270.2320605
127	269.9430863
128	269.3799398
129	268.9365383
130	268.5921442
131	268.270189
132	267.7537596
133	267.3336318
134	266.875162
135	266.1735309
136	265.8210858
137	265.3750396
138	265.0646221
139	264.8356619
140	264.4467159
141	264.2182833
142	263.7873854
143	263.5016869
144	263.2040035
145	262.8576445
146	262.3816403
147	262.1204233
148	261.789209
149	261.531284
150	261.0208063
151	260.6125426
152	260.1847888
153	259.9271204
154	259.4713464
155	259.2986795
156	258.7866611
157	258.5020299
158	258.3644973
159	257.9735358
160	257.4576243
161	256.9122886
162	256.723771
163	256.4144172
164	256.0966882
165	255.9309182
166	255.4963112
167	255.4325881
168	255.1139845
169	254.7489115
170	254.2017065
171	254.1203143
172	253.8189962
173	253.3938907
174	253.0551372
175	252.8456442
176	252.5141325
177	252.1526426
178	251.8066587
179	251.4846586
180	251.1634452
181	251.0320932
182	250.6282001
183	250.0344163
184	249.6771201
185	249.4647259
186	249.1594654
187	248.7810111
188	248.5599649
189	248.0510035
190	247.6433519
191	247.0719926
192	246.8524888
193	246.3911864
194	246.112182
195	245.6643783
196	245.49831
197	245.1112681
198	244.789466
199	244.3856471
200	244.3249791
201	244.2345214
202	243.9026609
203	243.4145784
204	243.3117105
205	243.2444
206	242.9836708
207	242.759508
208	242.0852122
209	242.014327
210	241.5754272
211	241.1738715
212	240.9794757
213	240.7416346
214	240.5626343
215	240.3541036
216	240.2979529
217	239.8473724
