iter	Passed	Remaining
0	158	157843
1	160	80131
2	163	54256
3	165	41166
4	168	33464
5	171	28370
6	172	24537
7	175	21774
8	177	19550
9	180	17829
10	182	16414
11	184	15215
12	187	14210
13	189	13348
14	191	12601
15	194	11983
16	197	11426
17	199	10898
18	202	10467
19	205	10086
20	209	9763
21	212	9451
22	214	9119
23	216	8807
24	218	8517
25	219	8230
26	221	7982
27	223	7757
28	224	7531
29	226	7317
30	227	7116
31	229	6928
32	230	6753
33	231	6585
34	233	6430
35	234	6278
36	235	6137
37	237	6001
38	238	5879
39	239	5753
40	241	5639
41	242	5524
42	243	5412
43	244	5309
44	245	5207
45	246	5118
46	248	5030
47	249	4939
48	250	4852
49	251	4775
50	252	4698
51	253	4622
52	254	4544
53	255	4468
54	255	4396
55	256	4324
56	257	4257
57	258	4190
58	258	4125
59	259	4062
60	259	4001
61	260	3942
62	261	3885
63	261	3828
64	262	3774
65	262	3721
66	263	3671
67	264	3620
68	264	3572
69	265	3525
70	266	3481
71	266	3438
72	267	3395
73	268	3354
74	268	3313
75	269	3273
76	269	3235
77	270	3198
78	271	3163
79	271	3127
80	272	3093
81	273	3060
82	273	3027
83	274	2995
84	275	2965
85	276	2936
86	276	2906
87	277	2877
88	278	2849
89	279	2821
90	279	2791
91	279	2762
92	280	2734
93	281	2708
94	281	2681
95	281	2655
96	282	2629
97	282	2604
98	283	2579
99	283	2555
100	284	2531
101	284	2507
102	285	2484
103	286	2464
104	286	2444
105	287	2425
106	288	2405
107	288	2385
108	289	2366
109	290	2346
110	290	2326
111	290	2306
112	291	2287
113	291	2268
114	292	2249
115	292	2231
116	293	2213
117	293	2197
118	294	2181
119	295	2165
120	295	2149
121	296	2132
122	296	2116
123	297	2100
124	297	2084
125	298	2069
126	298	2053
127	299	2038
128	299	2023
129	300	2008
130	300	1994
131	301	1981
132	301	1967
133	302	1953
134	302	1939
135	303	1926
136	303	1913
137	304	1900
138	304	1888
139	305	1876
140	306	1864
141	306	1852
142	307	1840
143	307	1828
144	308	1817
145	308	1805
146	309	1794
147	309	1783
148	310	1772
149	311	1762
150	311	1751
151	312	1741
152	312	1730
153	313	1722
154	314	1712
155	314	1702
156	315	1692
157	315	1683
158	316	1674
159	317	1665
160	317	1657
161	318	1647
162	319	1638
163	319	1629
164	320	1619
165	320	1610
166	321	1601
167	321	1591
168	321	1582
169	322	1574
170	323	1566
171	323	1557
172	323	1548
173	324	1540
174	324	1531
175	325	1523
176	326	1516
177	326	1508
178	327	1500
179	327	1492
180	328	1484
181	328	1476
182	328	1468
183	329	1461
184	330	1454
185	330	1447
186	331	1440
187	331	1433
188	332	1426
189	333	1420
190	333	1414
191	334	1407
192	334	1400
193	335	1393
194	335	1386
195	336	1379
196	336	1373
197	337	1366
198	337	1359
199	338	1352
200	338	1347
201	339	1341
202	340	1335
203	340	1329
204	341	1323
205	341	1317
206	342	1311
207	342	1305
208	343	1300
209	344	1294
210	344	1289
211	345	1284
212	346	1278
213	346	1273
214	347	1268
215	348	1263
216	348	1258
217	349	1253
218	349	1247
219	350	1242
220	350	1236
221	351	1231
222	351	1225
223	352	1220
224	352	1214
225	353	1209
226	353	1204
227	353	1198
228	354	1193
229	354	1187
230	355	1183
231	356	1178
232	356	1174
233	357	1170
234	358	1166
235	359	1162
236	359	1158
237	360	1154
238	361	1149
239	361	1145
240	362	1141
241	362	1136
242	363	1132
243	363	1127
244	364	1123
245	364	1118
246	365	1113
247	365	1109
248	366	1104
249	366	1100
250	367	1095
251	367	1091
252	368	1086
253	368	1082
254	369	1078
255	369	1074
256	370	1070
257	370	1066
258	371	1062
259	371	1058
260	372	1054
261	372	1050
262	373	1046
263	373	1041
264	374	1037
265	374	1034
266	375	1029
267	375	1025
268	376	1022
269	376	1018
270	377	1014
271	377	1010
272	378	1007
273	378	1003
274	379	1000
275	380	997
276	380	994
277	381	990
278	381	987
279	382	983
280	382	979
281	383	976
282	383	972
283	384	969
284	385	966
285	385	962
286	386	959
287	386	956
288	387	952
289	387	949
290	388	947
291	389	944
292	390	941
293	390	938
294	391	936
295	392	933
296	392	929
297	393	926
298	394	923
299	394	920
300	394	917
301	395	914
302	395	910
303	396	907
304	397	904
305	397	901
306	398	898
307	398	895
308	399	893
309	400	890
310	400	887
311	401	884
312	401	881
313	402	878
314	402	875
315	403	873
316	403	870
317	404	867
318	405	864
319	405	861
320	406	859
321	406	856
322	407	854
323	408	851
324	408	849
325	409	847
326	410	844
327	411	842
328	411	840
329	412	837
330	412	834
331	413	831
332	414	829
333	414	826
334	415	824
335	415	821
336	416	818
337	416	816
338	417	813
339	417	810
340	418	808
341	418	805
342	419	802
343	419	800
344	420	797
345	420	795
346	421	792
347	421	790
348	422	788
349	422	785
350	423	783
351	423	780
352	424	777
353	424	775
354	425	772
355	425	770
356	426	767
357	426	765
358	427	763
359	427	760
360	428	758
361	429	756
362	429	753
363	430	751
364	430	749
365	431	747
366	432	745
367	432	743
368	433	740
369	434	739
370	434	736
371	435	735
372	436	733
373	436	730
374	437	728
375	437	726
376	438	724
377	438	721
378	439	719
379	439	717
380	439	714
381	440	712
382	440	710
383	441	708
384	441	706
385	442	703
386	443	701
387	443	699
388	443	697
389	444	695
390	445	693
391	445	691
392	446	689
393	447	687
394	447	685
395	448	683
396	448	681
397	449	679
398	449	677
399	450	675
400	450	673
401	451	671
402	451	669
403	452	667
404	453	665
405	453	663
406	454	661
407	454	660
408	455	658
409	456	656
410	456	654
411	457	652
412	458	651
413	458	649
414	459	647
415	459	645
416	460	643
417	460	641
418	461	639
419	461	637
420	461	635
421	462	633
422	462	631
423	463	629
424	463	627
425	464	625
426	464	623
427	464	621
428	465	619
429	465	617
430	466	615
431	466	613
432	467	611
433	467	609
434	468	608
435	468	606
436	469	604
437	469	603
438	470	601
439	471	600
440	472	598
441	472	597
442	473	595
443	474	593
444	474	592
445	475	590
446	475	588
447	476	587
448	477	585
449	477	584
450	478	582
451	478	580
452	479	578
453	479	576
454	480	575
455	480	573
456	481	571
457	481	570
458	482	568
459	482	566
460	483	564
461	483	563
462	484	562
463	485	560
464	485	558
465	486	557
466	486	555
467	487	553
468	487	552
469	488	550
470	488	548
471	489	547
472	489	545
473	490	543
474	490	542
475	490	540
476	491	538
477	491	537
478	492	535
479	492	533
480	493	531
481	493	530
482	493	528
483	494	526
484	494	525
485	495	523
486	495	521
487	495	520
488	496	518
489	496	517
490	497	515
491	497	513
492	498	512
493	498	510
494	498	508
495	499	507
496	499	505
497	500	504
498	500	502
499	501	501
500	501	499
501	501	497
502	502	496
503	502	494
504	503	493
505	503	491
506	504	490
507	504	488
508	504	487
509	505	485
510	505	483
511	506	482
512	506	480
513	507	479
514	507	477
515	507	476
516	508	474
517	508	473
518	509	471
519	509	470
520	509	468
521	510	467
522	510	465
523	511	464
524	511	462
525	512	461
526	512	460
527	512	458
528	513	457
529	513	455
530	514	454
531	514	452
532	515	451
533	515	449
534	515	448
535	516	446
536	516	445
537	517	444
538	517	442
539	518	441
540	518	439
541	518	438
542	519	437
543	519	435
544	520	434
545	520	432
546	521	431
547	521	430
548	521	428
549	522	427
550	522	426
551	523	424
552	523	423
553	524	422
554	524	420
555	525	419
556	525	418
557	526	416
558	526	415
559	527	414
560	527	412
561	528	411
562	528	410
563	529	409
564	529	407
565	530	406
566	530	405
567	531	403
568	531	402
569	532	401
570	532	400
571	532	398
572	533	397
573	533	396
574	534	394
575	534	393
576	535	392
577	535	391
578	536	389
579	536	388
580	536	387
581	537	385
582	537	384
583	538	383
584	538	382
585	539	380
586	539	379
587	539	378
588	540	377
589	540	375
590	541	374
591	541	373
592	542	372
593	542	370
594	542	369
595	543	368
596	543	367
597	544	366
598	544	364
599	545	363
600	545	362
601	546	361
602	546	360
603	547	358
604	547	357
605	548	356
606	548	355
607	549	354
608	549	352
609	550	351
610	550	350
611	551	349
612	551	348
613	552	347
614	552	345
615	552	344
616	553	343
617	553	342
618	554	341
619	554	340
620	555	338
621	555	337
622	556	336
623	556	335
624	557	334
625	557	333
626	558	332
627	558	331
628	559	329
629	560	328
630	560	327
631	561	326
632	561	325
633	562	324
634	562	323
635	563	322
636	563	321
637	564	320
638	565	319
639	566	318
640	566	317
641	567	316
642	567	315
643	568	314
644	568	313
645	569	311
646	569	310
647	570	309
648	570	308
649	571	307
650	571	306
651	572	305
652	572	304
653	573	303
654	573	302
655	574	301
656	574	300
657	575	299
658	575	297
659	576	296
660	576	295
661	577	294
662	577	293
663	578	292
664	579	291
665	579	290
666	580	289
667	580	288
668	581	287
669	581	286
670	582	285
671	582	284
672	583	283
673	583	282
674	584	281
675	584	280
676	585	279
677	586	278
678	586	277
679	586	276
680	587	275
681	587	274
682	588	273
683	589	272
684	590	271
685	590	270
686	591	269
687	591	268
688	592	267
689	593	266
690	593	265
691	594	264
692	595	263
693	595	262
694	596	261
695	596	260
696	597	259
697	598	258
698	599	257
699	599	256
700	600	256
701	600	255
702	601	253
703	601	252
704	602	251
705	602	250
706	603	249
707	603	249
708	604	247
709	604	246
710	605	246
711	605	244
712	606	243
713	606	242
714	607	241
715	607	240
716	607	239
717	608	238
718	608	237
719	609	236
720	609	235
721	610	234
722	610	233
723	611	232
724	611	231
725	612	231
726	612	230
727	613	229
728	613	228
729	614	227
730	615	226
731	615	225
732	616	224
733	617	223
734	618	222
735	618	221
736	618	220
737	619	219
738	619	218
739	620	217
740	620	216
741	621	216
742	621	215
743	622	214
744	622	213
745	622	212
746	623	211
747	623	210
748	624	209
749	624	208
750	624	207
751	625	206
752	625	205
753	626	204
754	626	203
755	627	202
756	627	201
757	627	200
758	628	199
759	628	198
760	629	197
761	629	196
762	630	195
763	630	194
764	630	193
765	631	192
766	631	191
767	632	191
768	632	190
769	633	189
770	633	188
771	634	187
772	634	186
773	635	185
774	635	184
775	636	183
776	636	182
777	637	181
778	637	180
779	638	180
780	638	179
781	639	178
782	640	177
783	640	176
784	641	175
785	641	174
786	642	173
787	643	173
788	643	172
789	644	171
790	645	170
791	645	169
792	646	168
793	647	167
794	647	167
795	648	166
796	649	165
797	650	164
798	651	163
799	652	163
800	652	162
801	653	161
802	654	160
803	655	159
804	656	158
805	657	158
806	658	157
807	658	156
808	659	155
809	660	155
810	661	154
811	662	153
812	663	152
813	664	151
814	665	151
815	666	150
816	666	149
817	667	148
818	669	147
819	669	147
820	670	146
821	670	145
822	671	144
823	672	143
824	673	142
825	674	142
826	675	141
827	675	140
828	676	139
829	677	138
830	677	137
831	678	136
832	678	136
833	679	135
834	679	134
835	680	133
836	680	132
837	681	131
838	681	130
839	682	129
840	682	129
841	683	128
842	683	127
843	684	126
844	684	125
845	685	124
846	685	123
847	686	123
848	686	122
849	687	121
850	687	120
851	688	119
852	689	118
853	689	117
854	690	117
855	690	116
856	691	115
857	691	114
858	692	113
859	693	112
860	693	111
861	693	111
862	694	110
863	695	109
864	696	108
865	696	107
866	697	106
867	698	106
868	698	105
869	699	104
870	700	103
871	701	102
872	701	102
873	702	101
874	703	100
875	704	99
876	705	98
877	705	98
878	706	97
879	707	96
880	707	95
881	708	94
882	708	93
883	709	93
884	709	92
885	710	91
886	711	90
887	711	89
888	712	88
889	712	88
890	713	87
891	713	86
892	714	85
893	715	84
894	715	83
895	716	83
896	716	82
897	717	81
898	718	80
899	718	79
900	719	79
901	720	78
902	721	77
903	721	76
904	722	75
905	722	74
906	723	74
907	724	73
908	724	72
909	725	71
910	726	70
911	726	70
912	727	69
913	727	68
914	728	67
915	728	66
916	728	65
917	729	65
918	729	64
919	730	63
920	730	62
921	731	61
922	731	61
923	732	60
924	732	59
925	733	58
926	734	57
927	734	56
928	735	56
929	735	55
930	736	54
931	737	53
932	738	53
933	738	52
934	739	51
935	740	50
936	740	49
937	741	48
938	741	48
939	741	47
940	742	46
941	742	45
942	743	44
943	743	44
944	744	43
945	744	42
946	745	41
947	745	40
948	746	40
949	746	39
950	747	38
951	747	37
952	748	36
953	749	36
954	750	35
955	750	34
956	751	33
957	752	32
958	752	32
959	753	31
960	754	30
961	754	29
962	755	29
963	755	28
964	756	27
965	756	26
966	757	25
967	757	25
968	758	24
969	759	23
970	759	22
971	760	21
972	761	21
973	761	20
974	762	19
975	762	18
976	763	17
977	764	17
978	764	16
979	765	15
980	765	14
981	766	14
982	766	13
983	767	12
984	768	11
985	768	10
986	769	10
987	770	9
988	770	8
989	771	7
990	772	7
991	772	6
992	773	5
993	774	4
994	775	3
995	775	3
996	776	2
997	777	1
998	778	0
999	778	0
