iter	RMSE
0	15.87592614
1	15.54978063
2	15.26171681
3	14.97865668
4	14.68524752
5	14.42392395
6	14.15635099
7	13.87695894
8	13.64994198
9	13.42464592
10	13.19494555
11	12.97029057
12	12.76343234
13	12.57616572
14	12.38355158
15	12.18897013
16	11.98522971
17	11.83087107
18	11.66293805
19	11.49840791
20	11.36571692
21	11.22502519
22	11.08563254
23	10.96346105
24	10.84369782
25	10.70828813
26	10.57203351
27	10.4451106
28	10.33839732
29	10.2252468
30	10.10688957
31	10.01491966
32	9.91978735
33	9.828221732
34	9.735835074
35	9.643478342
36	9.544138674
37	9.461985003
38	9.365005235
39	9.29471956
40	9.21223924
41	9.148515165
42	9.078653003
43	8.982754302
44	8.90822675
45	8.846571173
46	8.762128719
47	8.70817337
48	8.640908351
49	8.572764617
50	8.512289566
51	8.45179375
52	8.39721955
53	8.344489286
54	8.28861799
55	8.244414058
56	8.175000629
57	8.120077645
58	8.066256479
59	8.002980517
60	7.970801607
61	7.920265905
62	7.880915834
63	7.830831196
64	7.792696287
65	7.760304601
66	7.713844977
67	7.680778328
68	7.628794791
69	7.586968935
70	7.551560337
71	7.514615022
72	7.481798794
73	7.442580752
74	7.400231425
75	7.364680493
76	7.341985164
77	7.310992278
78	7.281525168
79	7.239039016
80	7.212206319
81	7.184859158
82	7.145826068
83	7.119664889
84	7.088056359
85	7.055083093
86	7.023626101
87	7.007001514
88	6.978277646
89	6.949386876
90	6.915640352
91	6.895035137
92	6.864889621
93	6.856633636
94	6.827161506
95	6.802605504
96	6.775206493
97	6.753468527
98	6.74112462
99	6.722623479
100	6.704379662
101	6.675220168
102	6.660912186
103	6.627053169
104	6.607786274
105	6.584100903
106	6.573760127
107	6.553779184
108	6.541968841
109	6.531099061
110	6.524004726
111	6.50039625
112	6.485130136
113	6.460046341
114	6.430543066
115	6.424157837
116	6.414718652
117	6.382493064
118	6.369592319
119	6.353543098
120	6.33166102
121	6.312970071
122	6.299591494
123	6.269365747
124	6.242964155
125	6.222209089
126	6.200113333
127	6.188153863
128	6.171848648
129	6.137914996
130	6.121958231
131	6.104261968
132	6.079638942
133	6.061183512
134	6.04215331
135	6.030238936
136	6.015265693
137	6.00285135
138	5.986601673
139	5.980728341
140	5.964934639
141	5.958585169
142	5.941649546
143	5.929319062
144	5.917044458
145	5.8938286
146	5.884613339
147	5.868993633
148	5.843116135
149	5.827455041
150	5.812406076
151	5.79594027
152	5.784453201
153	5.77562613
154	5.759368159
155	5.738864487
156	5.720969021
157	5.70917838
158	5.692501019
159	5.670963144
160	5.654267834
161	5.650276071
162	5.632469986
163	5.610750231
164	5.598342961
165	5.578959757
166	5.563973267
167	5.536954806
168	5.526850824
169	5.510219333
170	5.485294478
171	5.483192286
172	5.472755252
173	5.467441247
174	5.463888257
175	5.458094527
176	5.44712127
177	5.440726241
178	5.438143089
179	5.436559966
180	5.423507974
181	5.414313546
182	5.395610835
183	5.389448887
184	5.368905765
185	5.3594102
186	5.35797545
187	5.34848679
188	5.336359817
189	5.320331362
190	5.307970014
191	5.305264546
192	5.299238385
193	5.296457666
194	5.293067211
195	5.280520781
196	5.256903209
197	5.246474085
198	5.239845344
199	5.236186625
200	5.22898574
201	5.218771272
202	5.212513072
203	5.206032322
204	5.195341432
205	5.192502635
206	5.182131241
207	5.181202535
208	5.169195717
209	5.161978679
210	5.159769321
211	5.154198938
212	5.137614162
213	5.124925182
214	5.118710235
215	5.115210125
216	5.104257362
217	5.088369887
218	5.08638635
219	5.061197081
220	5.05736962
221	5.05469147
222	5.047301919
223	5.038445456
224	5.029419702
225	5.024462654
226	5.013837357
227	5.003521775
228	5.001961324
229	4.97989045
230	4.955203998
231	4.944302565
232	4.94219505
233	4.931006616
234	4.916195216
235	4.907150945
236	4.896209683
237	4.886607856
238	4.87480702
239	4.8663842
240	4.852530226
241	4.842988652
242	4.833243938
243	4.824316819
244	4.815536145
245	4.805230621
246	4.797113746
247	4.795283336
248	4.785654625
249	4.777800394
250	4.763075252
251	4.754790467
252	4.745949865
253	4.741404754
254	4.733240185
255	4.725175748
256	4.7205399
257	4.706546118
258	4.698558653
259	4.691013484
260	4.673321195
261	4.656427743
262	4.65214708
263	4.633165994
264	4.627807507
265	4.624946647
266	4.617718517
267	4.592834704
268	4.585765727
269	4.562310512
270	4.55390822
271	4.533574414
272	4.529619135
273	4.513609268
274	4.510234112
275	4.494217948
276	4.487645301
277	4.481276247
278	4.475103521
279	4.466734155
280	4.445386245
281	4.425088741
282	4.417524752
283	4.398244214
284	4.392192655
285	4.37505852
286	4.359051406
287	4.353526135
288	4.347517409
289	4.341651717
290	4.321071326
291	4.306691421
292	4.288225342
293	4.283083771
294	4.277501086
295	4.263574405
296	4.250108066
297	4.244696821
298	4.239808016
299	4.235156849
300	4.218841435
301	4.212845349
302	4.199799701
303	4.184473207
304	4.168746472
305	4.163689202
306	4.146383166
307	4.133407581
308	4.12705819
309	4.122263174
310	4.107126912
311	4.098719724
312	4.092758174
313	4.080745781
314	4.076114505
315	4.065762838
316	4.057252101
317	4.047453763
318	4.040282896
319	4.036096586
320	4.026647691
321	4.009539129
322	4.003200162
323	3.996986043
324	3.980671562
325	3.971143804
326	3.960327122
327	3.95513738
328	3.949897471
329	3.93428817
330	3.928698125
331	3.915370572
332	3.902050755
333	3.891771003
334	3.882231844
335	3.875724734
336	3.868148291
337	3.852777199
338	3.84306604
339	3.828105067
340	3.817424238
341	3.810945884
342	3.806473914
343	3.792456055
344	3.786463659
345	3.782390244
346	3.778454502
347	3.772179554
348	3.768366029
349	3.759741095
350	3.756401899
351	3.750491738
352	3.746634298
353	3.739961798
354	3.726610312
355	3.718837774
356	3.717292597
357	3.708543443
358	3.707034904
359	3.701440837
360	3.696133287
361	3.687605327
362	3.682518205
363	3.675794882
364	3.670726662
365	3.666465394
366	3.662365898
367	3.649306916
368	3.644159541
369	3.631057593
370	3.625767054
371	3.61979798
372	3.61480648
373	3.606103184
374	3.594016303
375	3.588854794
376	3.58101733
377	3.576861104
378	3.568122042
379	3.563314578
380	3.553770148
381	3.545182776
382	3.539885472
383	3.527856987
384	3.523230049
385	3.515680743
386	3.511272449
387	3.505139673
388	3.50042759
389	3.497164071
390	3.48881317
391	3.484529383
392	3.481737139
393	3.47693667
394	3.471121306
395	3.465456778
396	3.461466857
397	3.457542056
398	3.453361178
399	3.450206573
400	3.446106028
401	3.442021112
402	3.438076867
403	3.430036305
404	3.425669693
405	3.412294453
406	3.407978817
407	3.396962443
408	3.393909864
409	3.39010128
410	3.38152743
411	3.377176301
412	3.372386103
413	3.362078259
414	3.355069555
415	3.351997784
416	3.344742216
417	3.341756006
418	3.338179209
419	3.333822089
420	3.322403846
421	3.319571314
422	3.316872362
423	3.309458385
424	3.306758723
425	3.300520335
426	3.296918915
427	3.292264794
428	3.285320598
429	3.280735445
430	3.27060532
431	3.267094111
432	3.257282652
433	3.253653785
434	3.247703849
435	3.241995253
436	3.232516504
437	3.224252416
438	3.219928294
439	3.213361664
440	3.210953215
441	3.206742908
442	3.202640818
443	3.198602927
444	3.191425834
445	3.182876702
446	3.176318284
447	3.17318197
448	3.169302283
449	3.162568787
450	3.158272462
451	3.154468697
452	3.15094128
453	3.144719549
454	3.138354354
455	3.137299089
456	3.131280427
457	3.12389833
458	3.118405969
459	3.115724305
460	3.113047492
461	3.10439082
462	3.099357992
463	3.093211192
464	3.090622248
465	3.084360815
466	3.083371091
467	3.080023699
468	3.077294027
469	3.074849712
470	3.066502984
471	3.064647742
472	3.05952379
473	3.052312651
474	3.049738944
475	3.047328419
476	3.040425012
477	3.033548798
478	3.024524887
479	3.018253284
480	3.010512974
481	3.006222533
482	3.005088744
483	3.000222578
484	2.995447804
485	2.990033233
