iter	Logloss
0	0.6784193952
1	0.6636447221
2	0.6509506283
3	0.6386983991
4	0.6272773654
5	0.6157375645
6	0.6069180118
7	0.5967254076
8	0.5873969253
9	0.5787704893
10	0.5705474796
11	0.5629073817
12	0.5557091242
13	0.5486633155
14	0.5429102371
15	0.5366166544
16	0.5307399935
17	0.5248849464
18	0.5194766363
19	0.5146489377
20	0.5100081545
21	0.5054306068
22	0.5009391481
23	0.497190279
24	0.4935982788
25	0.4899319386
26	0.486413652
27	0.4834880518
28	0.4805313077
29	0.4775712007
30	0.4754905089
31	0.4725421725
32	0.4701622375
33	0.4676690529
34	0.464978426
35	0.462751503
36	0.4604634126
37	0.4585128993
38	0.4566440968
39	0.4545875223
40	0.4526386782
41	0.4509418682
42	0.4494181734
43	0.4479018629
44	0.4463750459
45	0.444706228
46	0.443389772
47	0.4418139704
48	0.4405215514
49	0.4391924862
50	0.4380323387
51	0.436937615
52	0.4357626982
53	0.4346851794
54	0.4337880317
55	0.4326942072
56	0.4316684551
57	0.4308165243
58	0.4298209626
59	0.4288822791
60	0.4280066283
61	0.4271967467
62	0.4264891386
63	0.4256869029
64	0.4249120159
65	0.4241578485
66	0.4234475732
67	0.4226729676
68	0.4220222934
69	0.4213752673
70	0.420809023
71	0.4201767477
72	0.4196603294
73	0.4190066541
74	0.4184161484
75	0.4179467066
76	0.4172462319
77	0.416877681
78	0.4163843654
79	0.4159359084
80	0.4154136995
81	0.414876444
82	0.4143139656
83	0.4138338263
84	0.4133647039
85	0.4129397451
86	0.4126236957
87	0.4120116562
88	0.411707506
89	0.4111856825
90	0.4108628818
91	0.4103065034
92	0.4099308126
93	0.4094349333
94	0.4089767169
95	0.4086393947
96	0.4083068032
97	0.4079195631
98	0.4076567364
99	0.407177858
100	0.4067228297
101	0.4064546538
102	0.4060626228
103	0.4057397408
104	0.4054921843
105	0.4051434199
106	0.4048341032
107	0.404504547
108	0.4041106303
109	0.4038858606
110	0.4036058095
111	0.403261043
112	0.4029996866
113	0.4026641761
114	0.4023153084
115	0.4020446516
116	0.4018065074
117	0.4017360318
118	0.4015166666
119	0.4012253959
120	0.4010191012
121	0.4008130123
122	0.4004873332
123	0.4002961944
124	0.4000572543
125	0.3997870564
126	0.3996194574
127	0.3993477663
128	0.3990879389
129	0.3989625293
130	0.3987651506
131	0.3985678788
132	0.3983741565
133	0.3981969636
134	0.3979472622
135	0.3978137665
136	0.3976070879
137	0.3973747392
138	0.3969629
139	0.3967728391
140	0.3966494711
141	0.396389124
142	0.3961984615
143	0.39601858
144	0.3957111143
145	0.3954416937
146	0.3953289154
147	0.3951967995
148	0.3950064088
149	0.3949073664
150	0.3947333929
151	0.3945925968
152	0.3943706803
153	0.3941699524
154	0.3939863851
155	0.3938067213
156	0.3935948165
157	0.3932979885
158	0.3931371907
159	0.3929705486
160	0.3928411447
161	0.3926926102
162	0.3924850211
163	0.392283553
164	0.3920864113
165	0.3919374294
