iter	Logloss
0	0.6882651097
1	0.6846249879
2	0.6806930443
3	0.6767458705
4	0.6733573624
5	0.6688492454
6	0.6653229125
7	0.6619122335
8	0.6581310379
9	0.654904173
10	0.6511246884
11	0.6478386896
12	0.6446476789
13	0.6414602485
14	0.6374844068
15	0.6338628306
16	0.6299705015
17	0.6270766257
18	0.6238689252
19	0.6214876123
20	0.6179542859
21	0.615085096
22	0.6126514161
23	0.6093878062
24	0.6062387543
25	0.6036365335
26	0.6011299115
27	0.5986359055
28	0.5958706584
29	0.5935353421
30	0.5904413572
31	0.5879834905
32	0.5850171027
33	0.5830841221
34	0.5811383697
35	0.5783813188
36	0.5755889464
37	0.5730427281
38	0.5711503586
39	0.5691372287
40	0.5673318106
41	0.5655616639
42	0.5634076975
43	0.5610327181
44	0.5592998174
45	0.557335473
46	0.555733622
47	0.5538994975
48	0.5518706879
49	0.5499807665
50	0.5479627326
51	0.5457995853
52	0.5435237478
53	0.5418113312
54	0.5400569776
55	0.5384271442
56	0.5369390915
57	0.5354601655
58	0.5334602208
59	0.531947154
60	0.5305002269
61	0.5290589964
62	0.5271728933
63	0.5253261752
64	0.5236956798
65	0.5221251413
66	0.5202919306
67	0.5186024776
68	0.5175688845
69	0.5162812886
70	0.5147462719
71	0.5134361778
72	0.5115665764
73	0.5101963497
74	0.5086638754
75	0.507077956
76	0.5054441458
77	0.5039896636
78	0.5028207867
79	0.5018606132
80	0.5005715182
81	0.4993026856
82	0.4981034775
83	0.496802288
84	0.4955107026
85	0.4941992551
86	0.4926656162
87	0.4913091635
88	0.4904135359
89	0.4891100033
90	0.4883765855
91	0.4875350642
92	0.4861288984
93	0.484938065
94	0.484093379
95	0.4827156193
96	0.4817111191
97	0.4805029798
98	0.4793180757
99	0.4783168455
100	0.4771898568
101	0.4762356461
102	0.4751856469
103	0.4741450614
104	0.4731458403
105	0.4721643915
106	0.4709324091
107	0.4702208717
108	0.4694110748
109	0.4684472501
110	0.4674855094
111	0.4667362599
112	0.465433058
113	0.4642712999
114	0.4632848444
115	0.4622139305
116	0.4614349351
117	0.4606145338
118	0.4598532795
119	0.4590062139
120	0.4579681971
121	0.4570042633
122	0.4560481048
123	0.455268881
124	0.4546566273
125	0.4537421918
126	0.4530573867
127	0.4524875014
128	0.451806461
129	0.4511234634
130	0.4504008277
131	0.449704755
132	0.4487374526
133	0.4479540371
134	0.4470863392
135	0.4461068017
136	0.4454049547
137	0.4446337547
138	0.4440758666
139	0.4434631911
140	0.4427157535
141	0.4421041963
142	0.4415461239
143	0.4410110957
144	0.4405204025
145	0.4398172837
146	0.4389610139
147	0.4382452859
148	0.4376679032
149	0.4369024215
150	0.4360687948
151	0.435424418
152	0.4343102071
153	0.4336315707
154	0.4331665846
155	0.4324723719
156	0.431825184
157	0.4315583646
158	0.4306158175
159	0.4300340086
160	0.429511267
161	0.428805389
162	0.4281227032
163	0.4270869087
164	0.426470514
165	0.4260141847
166	0.4257274287
167	0.4249860306
168	0.4242018652
169	0.4237823202
170	0.4232628249
171	0.422721335
172	0.4223206795
173	0.4219169393
174	0.4213978272
175	0.4205656026
176	0.4200945521
177	0.4194746115
178	0.4188267589
179	0.4183295387
180	0.4177826851
181	0.4172427727
182	0.4168135921
183	0.4162414315
184	0.4156999734
185	0.4152047225
186	0.4145657419
187	0.4139360853
188	0.4134807027
189	0.4131212673
190	0.4124593324
191	0.4119044269
192	0.4112359198
193	0.4108222462
194	0.410074691
195	0.4095003609
196	0.4090384242
197	0.4084220105
198	0.4080509143
199	0.407497088
200	0.4069620683
201	0.4065462787
202	0.4063128429
203	0.4057838457
204	0.4052423168
205	0.4047832413
206	0.404036684
207	0.4036857606
208	0.4030220874
209	0.4025967078
210	0.4022285428
211	0.401737555
212	0.401294268
213	0.4006951508
214	0.4002057483
215	0.3994772124
216	0.3989105792
217	0.398340247
218	0.397838978
219	0.397438699
220	0.3971671375
221	0.3967298313
222	0.3960674652
223	0.3956101722
224	0.3950503378
225	0.3947712078
226	0.3943667868
227	0.3941770945
228	0.3937734992
229	0.3935261651
230	0.3931092265
231	0.3927585779
232	0.3923467155
233	0.3918010797
234	0.3913473069
235	0.3908341616
236	0.3906823061
237	0.3904867038
238	0.390308894
239	0.389841993
240	0.3894573475
241	0.3890061564
242	0.3886329254
243	0.388353442
244	0.3880068418
245	0.3877989406
246	0.3875800322
247	0.3872168016
248	0.3869545745
249	0.3865312581
250	0.3860823964
251	0.3856567266
252	0.3854589369
253	0.3850915058
254	0.3846712192
255	0.3842899063
256	0.38385202
257	0.3835973591
258	0.3832052189
259	0.3829354675
260	0.3826512086
261	0.3822752957
262	0.382126344
263	0.3816246795
264	0.3811656961
265	0.3807638698
266	0.3803738265
267	0.380028325
268	0.3797047791
269	0.3793018666
270	0.3790122748
271	0.3786625124
272	0.3782545483
273	0.3780268505
274	0.3776820519
275	0.3773494908
276	0.3768649053
277	0.3764619969
278	0.3759122872
279	0.3755171222
280	0.3751871461
281	0.3749316413
282	0.374693579
283	0.3741835025
284	0.3737023902
285	0.3732340524
286	0.3729078668
287	0.3726762884
288	0.3723175423
289	0.3719297192
290	0.3717155426
291	0.3714620521
292	0.3713533391
293	0.37095344
294	0.3707670581
295	0.3704506724
296	0.3701885925
297	0.3700188738
298	0.3696826849
299	0.3695563925
300	0.3691504102
301	0.3688216863
302	0.3686265995
303	0.3680507286
304	0.3676088064
305	0.3671198882
306	0.3668260397
307	0.3666893826
308	0.3662226635
309	0.3660678776
310	0.3656784996
311	0.3654338966
312	0.3652372581
313	0.3649731327
314	0.364527912
315	0.3642343319
316	0.3639915225
317	0.3638161073
318	0.3634014537
319	0.3631627127
320	0.3628680704
321	0.3626478319
322	0.3623933858
323	0.3621830642
324	0.3618883983
325	0.3616282066
326	0.3614254514
327	0.3611861052
328	0.3609675488
329	0.3606125529
330	0.3600532527
331	0.3597828985
332	0.3594276292
333	0.3592878574
334	0.3590841564
335	0.3589607987
336	0.358614971
337	0.3582710763
338	0.3580137282
339	0.3575809845
340	0.3572753493
341	0.3570188445
342	0.3565893039
343	0.3564330179
344	0.3561365261
345	0.3558595277
346	0.3555912776
347	0.3553332788
348	0.3551441054
349	0.3548227061
350	0.3543974186
351	0.3540788746
352	0.3538922001
353	0.3536911416
354	0.3533608481
355	0.3531868544
356	0.3530821022
357	0.3528741352
358	0.3526858548
359	0.3524092964
360	0.3522027582
361	0.3517629789
362	0.351606636
363	0.3512226209
364	0.3509378089
365	0.3507188414
366	0.3504593914
367	0.3502015184
368	0.3499786111
369	0.349823796
370	0.3496573157
371	0.3492335104
372	0.348879232
373	0.3487689972
374	0.3485215302
375	0.3484088064
376	0.3481294118
377	0.3478031976
378	0.3475371352
379	0.347197849
380	0.3470480562
381	0.3468143504
382	0.3464955624
383	0.3461975484
384	0.3459550667
385	0.3456735304
386	0.3451825347
387	0.3448990229
388	0.3445164458
389	0.3443430234
390	0.3441658287
391	0.3439987595
392	0.3437787886
393	0.3434788438
394	0.3433484634
395	0.3430303293
396	0.3428382257
397	0.3427120721
398	0.3423775756
399	0.3422286365
400	0.3420948168
401	0.3417865217
402	0.3416747329
403	0.341503635
404	0.3410468323
405	0.3409329041
406	0.3406491553
407	0.3403576292
408	0.3402335333
409	0.3399083636
410	0.3396160547
411	0.339439791
412	0.3392648846
413	0.3389198542
414	0.3386256029
415	0.3385095271
416	0.3383578404
417	0.3380904334
418	0.3379316343
419	0.3377110779
420	0.3375618674
421	0.337448683
422	0.3372174071
423	0.3368402914
424	0.3366558445
425	0.3364333941
426	0.3362498116
427	0.3361179007
428	0.3358886714
429	0.3358128339
430	0.3356325687
431	0.3354176824
432	0.335067592
433	0.3346584146
434	0.3344168622
435	0.3342035117
436	0.3338971356
437	0.3336051246
438	0.3334369303
439	0.3330239329
440	0.3327726968
441	0.332443665
442	0.3321550074
443	0.3318802021
444	0.3317106082
445	0.3314423915
446	0.3310229358
447	0.3307850352
448	0.3305433832
449	0.3303322617
450	0.3301375777
451	0.3299915823
452	0.3297778389
453	0.3296220654
454	0.3294774007
455	0.3292296129
456	0.3290675511
457	0.3288987805
458	0.3285699371
459	0.328388896
460	0.3282250181
461	0.3279296381
462	0.3275465637
463	0.3273991418
464	0.3272043046
465	0.3270586069
466	0.3269338967
467	0.3266663285
468	0.326514783
469	0.3262901767
470	0.326205662
471	0.3257947159
472	0.3256145574
473	0.3253657919
474	0.3251417546
475	0.3249462008
476	0.3247683982
477	0.324472072
478	0.3241730592
479	0.3239070241
480	0.3236569309
481	0.3234762265
482	0.3233110934
483	0.3230692788
484	0.3229858131
485	0.322811204
486	0.3226420806
487	0.3224190599
488	0.3221379098
489	0.3218905743
490	0.3216268761
491	0.3213957091
492	0.3212212073
493	0.3210307216
494	0.3208921735
495	0.3207212965
496	0.3204934877
497	0.3202411441
498	0.3200783366
499	0.3197363708
500	0.3194538777
501	0.3192721904
502	0.3190027239
503	0.3187599669
504	0.3185794511
505	0.3183359885
506	0.3180413906
507	0.3176555556
508	0.3173911258
509	0.3169907762
510	0.3168082754
511	0.3165888248
512	0.3164468462
513	0.3162417271
514	0.3160385011
515	0.3158619198
516	0.3156821229
517	0.315514093
518	0.3153322391
519	0.3150801356
520	0.3149234947
521	0.314641823
522	0.3144805716
523	0.3142070955
524	0.3140779397
525	0.3139129076
526	0.3137045162
527	0.3135493733
528	0.3134397669
529	0.3132990404
530	0.3131214719
531	0.3126695614
532	0.3125248472
533	0.3124451425
534	0.3121275394
535	0.3120280986
536	0.3118225848
537	0.3117151685
538	0.3112877216
539	0.3110868585
540	0.3109628857
541	0.3107849035
542	0.3106065799
543	0.3104937271
544	0.3103104466
545	0.3100977382
546	0.3098260758
547	0.3095737233
548	0.3092188539
549	0.3090499325
550	0.3088378547
551	0.3086732104
