iter	RMSE
0	9.012248575
1	8.812069104
2	8.610440314
3	8.430879234
4	8.270576936
5	8.095406062
6	7.926094876
7	7.767209496
8	7.608593714
9	7.451616485
10	7.301545685
11	7.145067894
12	6.994750262
13	6.848057845
14	6.726110652
15	6.57646387
16	6.449018109
17	6.329567311
18	6.209193085
19	6.094159674
20	5.990424325
21	5.886643109
22	5.781050232
23	5.673095071
24	5.582454582
25	5.484431425
26	5.396934334
27	5.306365739
28	5.23727677
29	5.138076454
30	5.051200285
31	4.964589974
32	4.888946269
33	4.810608315
34	4.738725939
35	4.664465001
36	4.590928576
37	4.512200496
38	4.440965883
39	4.362814673
40	4.302664876
41	4.243375779
42	4.186882389
43	4.122530396
44	4.063809663
45	3.999811179
46	3.958561131
47	3.901873166
48	3.858705391
49	3.81011096
50	3.766207052
51	3.723026969
52	3.681428844
53	3.644330109
54	3.598337988
55	3.554180328
56	3.522131754
57	3.48192657
58	3.444425325
59	3.408764402
60	3.372490595
61	3.337302114
62	3.30425662
63	3.267977499
64	3.236585015
65	3.210760824
66	3.177679056
67	3.146346665
68	3.118571357
69	3.094531845
70	3.065555735
71	3.043323363
72	3.018259619
73	2.988291356
74	2.963708008
75	2.938263626
76	2.914837978
77	2.889010753
78	2.869604234
79	2.851459329
80	2.828180714
81	2.808869193
82	2.790389364
83	2.768312978
84	2.750472807
85	2.728433847
86	2.708492107
87	2.688779907
88	2.670030496
89	2.651435865
90	2.634435532
91	2.618664829
92	2.604558975
93	2.587966832
94	2.571278076
95	2.558112815
96	2.545873826
97	2.527476372
98	2.513629172
99	2.500538709
100	2.488497115
101	2.47436913
102	2.461109533
103	2.446494339
104	2.432607045
105	2.421660906
106	2.409531461
107	2.394477188
108	2.381050754
109	2.367429145
110	2.356568957
111	2.344731498
112	2.332552298
113	2.323419436
114	2.314277371
115	2.30657283
116	2.295597537
117	2.283091833
118	2.271277297
119	2.264272013
120	2.251175024
121	2.239652468
122	2.22908852
123	2.214840432
124	2.207037804
125	2.199040518
126	2.191149392
127	2.183574633
128	2.174627488
129	2.166675838
130	2.161477306
131	2.153804688
132	2.146332199
133	2.142198788
134	2.133527191
135	2.123828279
136	2.114518212
137	2.108511885
138	2.101947157
139	2.093902155
140	2.084478804
141	2.07924902
142	2.071105215
143	2.063858333
144	2.058056487
145	2.049266513
146	2.041739301
147	2.033080856
148	2.024197708
149	2.01649945
150	2.007918545
151	1.999262097
152	1.993851034
153	1.98574315
154	1.979950669
155	1.971669398
156	1.963442007
157	1.958416567
158	1.951161469
159	1.945557974
160	1.938640928
161	1.933011488
162	1.928102082
163	1.921336049
164	1.915449463
165	1.90867024
166	1.901517002
167	1.894816937
168	1.888896171
169	1.885214823
170	1.879648976
171	1.874252692
172	1.868096912
173	1.862231827
174	1.857181514
175	1.853179814
176	1.848554404
177	1.843142979
178	1.838307006
179	1.832675521
180	1.827430049
181	1.821259345
182	1.814139765
183	1.80938078
184	1.804379292
185	1.800154535
186	1.795652869
187	1.788675182
188	1.782889456
189	1.776446082
190	1.771191056
191	1.765190791
192	1.76245913
193	1.755866476
194	1.751569202
195	1.746737638
196	1.740376387
197	1.737194724
198	1.731898101
199	1.728211622
200	1.722894809
201	1.719723582
202	1.713660797
203	1.708671747
204	1.706434781
205	1.701720635
206	1.69645424
207	1.69278211
208	1.686763741
209	1.682503222
210	1.675514463
211	1.670821947
212	1.666892216
213	1.66228853
214	1.65830633
215	1.654416983
216	1.648136476
217	1.644652698
218	1.640835614
219	1.634659274
220	1.629407471
221	1.624151934
222	1.620084036
223	1.612872802
224	1.608890598
225	1.604837962
226	1.59983581
227	1.5951617
228	1.591339749
229	1.588025778
230	1.58360402
231	1.580429141
232	1.57632199
233	1.574282039
234	1.570063569
235	1.56567724
236	1.562679046
237	1.55858482
238	1.55329155
239	1.551193822
240	1.548145986
241	1.543422559
242	1.540511414
243	1.537491244
244	1.533910244
245	1.529651286
246	1.526882504
247	1.522135224
248	1.519425078
249	1.51525605
250	1.51222916
251	1.511038529
252	1.505348044
253	1.501199163
254	1.498824059
255	1.496578353
256	1.492333745
257	1.48888072
258	1.485163743
259	1.482604443
260	1.479341876
261	1.476930266
262	1.473742713
263	1.470748764
264	1.46843262
265	1.464915853
266	1.460972863
267	1.458137077
268	1.455297479
269	1.45036078
270	1.447483057
271	1.442306748
272	1.439152662
273	1.43425772
274	1.43281736
275	1.431151796
276	1.429656968
277	1.425843699
278	1.423091196
279	1.418486511
280	1.416749848
281	1.414641178
282	1.412872511
283	1.410087244
284	1.405941868
285	1.402283909
286	1.399493701
287	1.397232169
288	1.393621313
289	1.388457082
290	1.387906246
291	1.385525842
292	1.381131015
293	1.380694445
294	1.377576935
295	1.37288254
296	1.369016327
297	1.365179411
298	1.364152274
299	1.36113406
300	1.357008295
301	1.353502348
302	1.350331814
303	1.34991546
304	1.345866786
305	1.342773793
306	1.340648724
307	1.337506733
308	1.337094464
309	1.336713624
310	1.33350074
311	1.330937556
312	1.326501406
313	1.324405939
314	1.323994484
315	1.320555526
316	1.319400668
317	1.318060119
318	1.313670536
319	1.311414105
320	1.309064348
321	1.307109623
322	1.303957917
323	1.301144005
324	1.297244986
325	1.294971227
326	1.291122671
327	1.290849408
328	1.290563937
329	1.287113598
330	1.28515252
331	1.284900774
332	1.281423224
333	1.278491748
334	1.275153912
335	1.274907905
336	1.271802925
337	1.267711958
338	1.261812403
339	1.259528038
340	1.257049278
341	1.255390726
342	1.252551734
343	1.249700566
344	1.24802263
345	1.245002446
346	1.242299855
347	1.239030951
348	1.238328574
349	1.236674924
350	1.234497422
351	1.232253594
352	1.228560818
353	1.227025586
354	1.2247352
355	1.222382857
356	1.21949076
357	1.216265249
358	1.213292769
359	1.212344659
360	1.210471858
361	1.207234537
362	1.205570101
363	1.202618944
364	1.199208296
365	1.198956145
366	1.197285918
367	1.196189012
368	1.192760457
369	1.191387619
370	1.18979208
371	1.187274228
372	1.185802349
373	1.183021656
374	1.180682752
375	1.17780945
376	1.174903448
377	1.172758326
378	1.170394836
379	1.167868487
380	1.164579478
381	1.162743857
382	1.160373882
383	1.156460526
384	1.153556704
385	1.15087799
386	1.14918787
387	1.148936344
388	1.14686923
389	1.14539663
390	1.144769416
391	1.143601008
392	1.142829001
393	1.142667191
394	1.140729584
395	1.138650887
396	1.135679897
397	1.134946489
398	1.132815226
399	1.130641242
400	1.129107675
401	1.126407907
402	1.125491969
403	1.122957036
404	1.121399526
405	1.121224894
406	1.118240856
407	1.115747453
408	1.112811214
409	1.110112302
410	1.107190423
411	1.105002295
412	1.102705483
413	1.100146955
414	1.09731208
415	1.095705439
416	1.09344645
417	1.092497239
418	1.089704224
419	1.08862507
420	1.085499403
421	1.083094091
422	1.07912009
423	1.076655069
424	1.074844654
425	1.072504344
426	1.070065203
427	1.06691833
428	1.065173141
429	1.063710203
430	1.061557072
431	1.059836741
432	1.057923548
433	1.056330863
434	1.055238149
435	1.05504182
436	1.054492646
437	1.051735595
438	1.050334424
439	1.047830618
440	1.043991437
441	1.04101998
442	1.038496375
443	1.036901871
444	1.035069706
445	1.03345228
446	1.031532894
447	1.029042357
448	1.026162297
449	1.023894669
450	1.020456963
451	1.017894147
452	1.016560017
453	1.014673266
454	1.012184706
455	1.009611771
456	1.007184698
457	1.004258538
458	1.002436726
459	1.00045703
460	0.9978019568
461	0.9954678985
462	0.9939637808
463	0.9920283828
464	0.9891758975
465	0.9863976065
466	0.9854338172
467	0.983720055
468	0.981379484
469	0.9796197919
470	0.9767995507
471	0.9759857855
472	0.9744386856
473	0.9733857964
474	0.9716957164
475	0.97019272
476	0.9679411959
477	0.9668494925
478	0.9665323194
479	0.9643057052
480	0.9628932905
481	0.9615664387
482	0.9601276821
483	0.9582481857
484	0.9565321928
485	0.95510075
486	0.9530420529
487	0.9510901287
488	0.9502121713
489	0.9483517266
490	0.9463827227
491	0.945243626
492	0.9433734976
493	0.9420520906
494	0.9399387162
495	0.9389053391
496	0.9371440171
497	0.9350916677
498	0.9348732356
499	0.9342339889
500	0.9324763117
501	0.9315113039
502	0.9289568169
503	0.9263444918
504	0.9240034226
505	0.9221233357
506	0.9201283132
507	0.9192278325
508	0.9185287376
509	0.9171770888
510	0.9155601893
511	0.9137320831
512	0.9133015898
513	0.9131443941
514	0.910932969
515	0.9100124814
516	0.9096898718
517	0.9089196325
518	0.908325841
519	0.9066795348
520	0.9045793921
521	0.9037491873
522	0.9014619267
523	0.8997126875
524	0.8985178444
525	0.896656178
526	0.8957306014
527	0.8946192652
528	0.8929300256
529	0.8912536643
530	0.8890738187
531	0.8877316784
532	0.8857762439
533	0.8834317787
534	0.8812033033
535	0.8800457899
536	0.8792153543
537	0.8771004418
538	0.8751078718
539	0.8731797801
540	0.871072205
541	0.8695673546
542	0.8678229699
543	0.8660325841
544	0.8639538738
545	0.863477118
546	0.8625989863
547	0.8614191811
548	0.8601001938
549	0.8586312963
550	0.8562883413
551	0.8558820354
552	0.8529168557
553	0.8514636111
554	0.8497415531
555	0.8478238034
556	0.8468580761
557	0.8466318695
558	0.8449195022
559	0.8430844338
560	0.8429381703
561	0.8414861856
562	0.8404855744
563	0.8401412243
564	0.8377863946
565	0.8362138586
566	0.8345077682
567	0.8328016638
568	0.8304280374
569	0.8286028797
570	0.8270769604
571	0.8256987751
572	0.8235767705
573	0.822675967
574	0.8225049332
575	0.820794467
576	0.8194430195
577	0.8186342494
578	0.8170652513
579	0.8153430275
580	0.8139855727
581	0.8136073602
582	0.8123374941
583	0.8111650513
584	0.81047177
585	0.8089123512
586	0.8068358488
587	0.8048215777
588	0.803204028
589	0.801336831
590	0.8000698707
591	0.7984429024
592	0.7977390902
593	0.7952474387
594	0.7934989247
595	0.7919265595
596	0.7903774737
597	0.7887245109
598	0.7885968867
599	0.7866901604
600	0.7855029333
601	0.7844859371
602	0.7841469851
603	0.7820882581
604	0.7805155503
605	0.7789528218
606	0.777872253
607	0.7777239279
608	0.7760874222
609	0.7750255878
610	0.7732492211
611	0.7729283567
612	0.7719811601
613	0.7703009105
614	0.7689221028
615	0.7670027317
616	0.7660398512
617	0.7648549116
618	0.7638773628
619	0.7628643275
620	0.7623366123
621	0.7610688006
622	0.7599228036
623	0.7587057698
624	0.7577292116
625	0.7557819071
626	0.75471771
627	0.7529175943
628	0.7514504575
629	0.7501494768
630	0.7490192308
631	0.747386463
632	0.7448947021
633	0.7431825767
634	0.7423552307
635	0.7420592926
636	0.7406165774
637	0.7383869647
638	0.7369482833
639	0.7356496667
640	0.7333939442
641	0.7316034905
642	0.730959289
643	0.7299647226
644	0.729305916
645	0.7281116694
646	0.7268530115
647	0.7252193327
648	0.7249200731
649	0.7234979734
650	0.7233859973
651	0.7219585885
652	0.7215375572
653	0.7200853047
654	0.718908096
655	0.7182872927
656	0.7181633241
657	0.7167747014
658	0.7153757114
659	0.7141700075
660	0.713144075
661	0.7114971023
662	0.710378501
663	0.709117218
664	0.7081772271
665	0.7063222259
666	0.7049535088
667	0.7043653287
668	0.7031060241
669	0.7021104256
670	0.7010014569
671	0.6990404726
672	0.6976285635
673	0.6966605931
674	0.6951603332
675	0.6942284554
676	0.692977156
677	0.6918261663
678	0.6898392748
679	0.6885639303
680	0.6880017432
681	0.6868872221
682	0.6856651968
683	0.6846844602
684	0.6828379911
685	0.6825634967
686	0.6823506569
687	0.6813474054
688	0.679688103
689	0.6790349247
690	0.6782641446
691	0.677898713
692	0.6774098081
693	0.6762132593
694	0.6754288714
695	0.6734884822
696	0.672625811
697	0.6710271199
698	0.6692881931
699	0.668437971
700	0.6673495098
701	0.6656340349
702	0.664669251
703	0.663501926
704	0.6622847473
705	0.6607719622
706	0.6598171366
707	0.6585034502
708	0.6573437512
709	0.6558400474
710	0.6549109123
711	0.6536637754
712	0.6526433666
713	0.6517813938
714	0.6506389606
715	0.6494288046
716	0.6481069804
717	0.647730355
718	0.6465815113
719	0.6453582633
720	0.6439104271
721	0.6422751696
722	0.6412446949
723	0.6403023074
724	0.6398292686
725	0.6386942458
726	0.6373846305
727	0.6359738536
728	0.6341993094
729	0.6330749333
730	0.632981082
731	0.6328816795
732	0.6314594305
733	0.6304963055
734	0.6297375361
735	0.6290470343
736	0.6278639945
737	0.6263116655
738	0.6254487633
739	0.6237983199
740	0.6228464389
741	0.6216723534
742	0.621002552
743	0.6199259735
744	0.6194487345
745	0.6189549273
746	0.6178259899
747	0.6168414524
748	0.6158703476
749	0.6146216254
750	0.6142560715
751	0.6139344678
752	0.6128638985
753	0.611304736
754	0.6106051857
755	0.6093963259
756	0.6086936689
757	0.6085908567
758	0.6076832895
759	0.6071042373
760	0.6060717215
761	0.6050741448
762	0.6041929949
763	0.6036732144
764	0.6029740454
765	0.6021664478
766	0.6020982089
767	0.6009955042
768	0.5999928824
769	0.5987766164
770	0.5982959341
771	0.5980395817
772	0.5971711694
773	0.5958889021
774	0.5958122718
775	0.595054183
776	0.5939417741
777	0.5933207815
778	0.5923709851
779	0.5917381807
780	0.5910755435
781	0.5906421978
782	0.5899805347
783	0.58907358
784	0.588018028
785	0.587752727
786	0.5876681218
787	0.58672804
788	0.5864591316
789	0.5855200895
790	0.5849069808
791	0.5841150718
792	0.5831300815
793	0.5825989023
794	0.5821323231
795	0.5818696159
796	0.5807329539
797	0.5800469566
798	0.5792130969
799	0.5784492772
800	0.577288862
801	0.5760980061
802	0.5753659544
803	0.5744078787
804	0.5737441803
805	0.5730436215
806	0.5722961569
807	0.5710972473
808	0.5698254371
809	0.5697519494
810	0.5689555946
811	0.5681151043
812	0.5671801938
813	0.5667743746
814	0.5661991844
815	0.5650106231
816	0.5642324058
817	0.563897527
