,Spd
Unnamed: 0,-0.0004114872781009937
age,-0.34964979237214117
birthday,0.003488466079105801
buG1fAccTime,-0.10202782251181593
buG1fOrd,-0.24910198630219063
buG2fAccTime,-0.10970619504042345
buG2fOrd,-0.1964601629761073
buG3fAccTime,-0.12248560140650407
buG3fOrd,-0.16953513154358088
buG4fAccTime,-0.19371756644748309
buG4fOrd,-0.2267248014467129
buG6fAccTime,-0.15701821057985194
buG6fOrd,-0.10775009055687698
buG8fAccTime,
buG8fOrd,
buS1fAccTime,-0.052185991265575306
buS1fOrd,-0.13903272200243944
buS1fTime,-0.052185991265575306
bu_10_8fTime,
bu_1fGTime,-0.06943701168902504
bu_2fGTime,-0.06873251566713033
bu_3fGTime,-0.06696591883834738
bu_4_2fTime,-0.06322611065094384
bu_6_4fTime,-0.1648256516364379
bu_8_6fTime,-0.15701821057985194
buga1,
buga2,
buga3,
chaksun1,0.3110978503289902
chaksun2,0.33119225948137365
chaksun3,0.3336717341433045
chaksun4,0.3523372506451052
chaksun5,0.34351722137135754
chulNo,-0.04864619931039134
hrNo,0.01591604624782176
ilsu,0.20467161920548185
jeG1fTime,
jeG3fTime,
jeS1fTime,
je_1cTime,
je_2cTime,
je_3cTime,
je_4cTime,
ord,-0.6205214323241508
owNo,-0.01079451093278406
plcOdds,-0.020231304450053417
rankRise,0.15468793555840415
rating,
rcDate,-0.19791246259084486
rcDist,-0.48998694437619916
rcNo,-0.22683501764668865
rcTime,-0.612892154458307
seG1fAccTime,-0.07775220384614168
seG3fAccTime,-0.12680904851422123
seS1fAccTime,0.021233441426106968
se_1cAccTime,-0.27106859655168153
se_2cAccTime,-0.2710245191795144
se_3cAccTime,-0.18184572645811584
se_4cAccTime,-0.10943657148200225
sjG1fOrd,-0.2535340565460476
sjG3fOrd,-0.1510315134538512
sjS1fOrd,-0.1198656555394212
sj_1cOrd,-0.24383400649164672
sj_2cOrd,-0.2421060733011998
sj_3cOrd,-0.13232970723802523
sj_4cOrd,-0.16284514655892243
wgBudam,-0.06500230382487633
wgJk,0.07371332490359533
winOdds,-0.02951655015930697
Spd,1.0
illcount,0.12101093755354182
