iter	RMSE
0	34987.30113
1	34466.97129
2	33978.88695
3	33481.40516
4	33060.33107
5	32695.00542
6	32352.87888
7	31993.99463
8	31570.36374
9	31092.8413
10	30605.25168
11	30175.29382
12	29678.21575
13	29288.21264
14	28827.42593
15	28444.85434
16	28015.08601
17	27668.7898
18	27355.77009
19	26979.12347
20	26627.18665
21	26299.86009
22	25906.86659
23	25534.47826
24	25181.08117
25	24836.95682
26	24504.03196
27	24220.62607
28	23864.28775
29	23527.55942
30	23195.0745
31	22864.28814
32	22510.12807
33	22265.3558
34	22071.87759
35	21828.66972
36	21602.42594
37	21271.11073
38	21061.91012
39	20853.74137
40	20685.62046
41	20435.92679
42	20261.90924
43	20084.65616
44	19844.70735
45	19583.35746
46	19399.68312
47	19201.70964
48	18954.5395
49	18752.64526
50	18495.57435
51	18273.80651
52	18105.49999
53	17879.7905
54	17744.43167
55	17631.18829
56	17433.31867
57	17253.7849
58	17135.16279
59	17008.02079
60	16806.26756
61	16611.52247
62	16457.6003
63	16295.68093
64	16122.09578
65	16027.23939
66	15920.91627
67	15814.36221
68	15703.86392
69	15512.79756
70	15332.01803
71	15164.07279
72	15002.95561
73	14894.39433
74	14691.33953
75	14602.02214
76	14459.52487
77	14357.87388
78	14240.99099
79	14109.66593
80	13937.23765
81	13766.82528
82	13670.84892
83	13589.82156
84	13463.30263
85	13357.79582
86	13241.32472
87	13122.01637
88	13041.16382
89	12964.24692
90	12878.87968
91	12796.37195
92	12640.40047
93	12503.0989
94	12408.77317
95	12275.80977
96	12166.67742
97	12080.19061
98	11980.24509
99	11884.27363
100	11773.14316
101	11697.47851
102	11623.09479
103	11555.33487
104	11475.21064
105	11376.5904
106	11309.058
107	11237.15991
108	11155.65949
109	11051.07624
110	10943.74338
111	10880.44835
112	10777.43375
113	10703.95783
114	10649.47526
115	10588.37587
116	10491.21203
117	10408.4393
118	10347.66012
119	10279.82266
120	10190.88793
121	10118.99197
122	10057.03731
123	10000.62217
124	9931.126786
125	9830.31232
126	9773.987252
127	9723.1733
128	9670.574321
129	9580.567779
130	9523.271893
131	9463.858217
132	9370.542463
133	9323.350409
134	9271.126161
135	9217.308429
136	9121.748584
137	9071.808906
138	9024.243571
139	8968.145697
140	8917.569496
141	8825.429443
142	8757.706693
143	8713.872144
144	8665.032853
145	8579.399454
146	8530.767068
147	8482.113943
148	8440.661652
149	8389.568863
150	8323.957565
151	8260.327498
152	8203.194823
153	8160.034203
154	8091.641247
155	8041.990843
156	7998.415778
157	7957.298236
158	7899.202444
159	7852.182553
160	7810.014075
161	7755.380571
162	7718.584055
163	7659.588149
164	7617.942752
165	7542.976269
166	7499.779989
167	7459.664328
168	7424.799395
169	7383.256698
170	7312.951008
171	7248.798817
172	7212.088605
173	7172.854301
174	7136.095632
175	7100.122454
176	7041.113933
177	6993.645492
178	6945.710265
179	6885.791051
180	6850.927286
181	6817.404235
182	6786.427324
183	6752.961301
184	6720.044044
185	6683.130276
186	6647.594952
187	6616.198492
188	6582.580832
189	6529.667725
190	6486.578464
191	6454.549518
192	6422.626034
193	6392.106235
194	6347.270932
195	6317.263609
196	6287.753571
197	6258.451028
198	6211.875059
199	6182.891864
200	6119.217391
201	6088.470386
202	6060.208009
203	6030.865417
204	5998.067931
205	5970.184767
206	5941.893437
207	5911.488573
208	5857.895105
209	5829.266728
210	5803.794361
211	5778.135642
212	5750.594718
213	5725.082978
214	5698.254995
215	5640.617416
216	5611.419766
217	5587.241379
218	5531.57318
219	5506.346503
220	5452.381366
221	5428.546639
222	5404.730349
223	5380.957842
224	5345.690349
225	5321.428396
226	5267.327619
227	5216.338009
228	5194.870314
229	5143.856841
230	5091.233129
231	5070.343825
232	5048.628209
233	5027.790186
234	4984.658125
235	4954.679075
236	4934.800847
237	4913.635572
238	4865.074065
239	4845.703964
240	4825.094619
241	4783.281814
242	4764.431903
243	4717.609842
244	4684.471729
245	4665.326758
246	4645.700942
247	4610.328334
248	4570.886733
249	4552.436082
250	4507.914842
251	4490.220157
252	4458.681638
253	4440.80963
254	4420.72015
255	4403.143555
256	4373.063753
257	4355.860727
258	4331.840909
259	4290.536465
260	4273.260537
261	4233.328022
262	4196.725128
263	4165.50527
264	4145.555843
265	4099.948655
266	4066.30298
267	4038.341292
268	4022.718776
269	4007.165659
270	3965.986011
271	3950.815053
272	3935.815166
273	3906.845936
274	3892.129438
275	3877.579535
276	3848.579383
277	3808.86864
278	3794.396275
279	3780.378427
280	3766.453334
281	3728.462226
282	3696.8263
283	3683.359865
284	3656.806098
285	3643.611578
286	3616.637991
287	3601.971556
288	3589.389849
289	3555.75276
290	3534.566345
291	3521.169881
292	3485.724924
293	3451.903587
294	3437.293582
295	3424.36296
296	3411.791178
297	3399.741996
298	3387.639466
299	3374.72493
300	3362.456093
301	3350.907372
302	3318.996882
303	3288.474866
304	3276.663914
305	3255.299311
306	3224.40236
307	3202.742719
308	3175.799043
309	3164.476711
310	3153.281902
311	3142.213417
312	3115.611269
313	3093.80299
314	3083.513164
315	3062.389631
316	3039.858073
317	3014.857266
318	2992.197765
319	2981.791931
320	2970.762449
321	2946.578306
322	2936.466524
323	2926.470236
324	2900.783355
325	2890.978349
326	2864.422781
327	2838.43897
328	2818.876448
329	2791.434586
330	2782.417121
331	2773.504695
332	2764.522284
333	2740.163391
334	2731.598872
335	2723.462269
336	2715.465933
337	2707.519807
338	2685.604612
339	2677.241997
340	2669.545543
341	2661.379144
342	2653.86284
343	2630.481354
344	2612.234955
345	2589.710082
346	2582.45979
347	2574.740366
348	2567.124898
349	2560.155704
350	2538.372147
351	2521.058878
352	2513.714058
353	2506.988339
354	2499.836544
355	2493.270125
356	2486.669576
357	2468.854748
358	2451.511735
359	2432.379112
360	2425.422577
361	2419.235265
362	2412.437637
