iter	Passed	Remaining
0	0	783
1	1	790
2	2	789
3	3	760
4	3	739
5	4	741
6	5	710
7	5	690
8	6	676
9	6	662
10	7	650
11	7	647
12	8	633
13	8	622
14	9	624
15	10	627
16	10	619
17	11	611
18	11	604
19	12	597
20	12	594
21	13	590
22	13	586
23	14	582
24	14	581
25	15	576
26	15	574
27	16	570
28	17	570
29	17	571
30	18	569
31	18	566
32	19	568
33	19	566
34	20	565
35	21	564
36	21	562
37	22	561
38	22	555
39	23	552
40	23	553
41	24	553
42	24	553
43	25	553
44	26	553
45	26	552
46	27	552
47	27	551
48	28	550
49	28	548
50	29	548
51	30	547
52	30	546
53	31	546
54	31	545
55	32	545
56	32	544
57	33	543
58	33	542
59	34	540
60	35	541
61	35	539
62	36	538
63	36	537
64	37	536
65	37	533
66	38	534
67	38	534
68	39	529
69	39	529
70	40	528
71	40	527
72	41	526
73	41	525
74	42	524
75	43	523
76	43	523
77	44	521
78	44	522
79	45	521
80	45	521
81	46	520
82	47	519
83	47	519
84	48	519
85	48	518
86	49	516
87	49	516
88	50	515
89	50	514
90	51	511
91	51	512
92	52	511
93	53	511
94	53	510
95	54	509
96	54	508
97	55	508
98	55	507
99	56	506
100	56	505
101	57	504
102	57	504
103	58	504
104	59	503
105	59	504
106	60	504
107	61	503
108	61	503
109	62	502
110	62	502
111	70	556
112	70	555
113	71	554
114	71	552
115	72	551
116	72	549
117	73	549
118	73	547
119	74	546
120	75	545
121	75	544
122	76	542
123	76	541
124	77	541
125	77	540
126	78	539
127	79	538
128	79	536
129	79	535
130	80	533
131	81	533
132	81	531
133	81	528
134	82	528
135	83	527
136	83	526
137	84	525
138	84	524
139	85	522
140	85	521
141	86	520
142	86	520
143	87	519
144	87	518
145	88	516
146	88	515
147	89	514
148	89	513
149	90	512
150	90	511
151	91	510
152	92	509
153	92	508
154	93	508
155	93	506
156	94	505
157	94	505
158	95	503
159	95	502
160	96	502
161	96	501
162	97	500
163	98	499
164	98	499
165	99	498
166	99	497
167	100	496
168	100	495
169	101	494
170	101	494
171	102	493
172	103	492
173	103	491
174	104	490
175	104	489
176	105	489
177	105	488
178	106	487
179	106	486
180	107	486
181	107	485
182	108	484
183	109	483
184	109	482
185	110	481
186	110	480
187	111	479
188	111	479
189	112	478
190	112	477
191	113	476
192	113	475
193	114	474
194	114	473
195	115	473
196	115	472
197	116	471
198	117	471
199	117	469
200	118	469
201	118	468
202	119	467
203	119	466
204	120	465
205	120	465
206	121	465
207	121	464
208	122	463
209	123	463
210	123	463
211	124	462
212	124	461
213	125	461
214	126	460
215	126	459
216	127	459
217	127	458
218	128	457
219	128	456
220	129	456
221	129	455
222	130	454
223	131	454
224	131	453
225	132	452
226	132	451
227	133	451
228	133	449
229	134	449
230	134	448
231	135	447
232	135	446
233	135	445
234	136	444
235	136	443
236	137	442
237	137	441
238	138	440
239	138	439
240	139	439
241	139	438
242	140	437
243	140	436
244	141	435
245	141	434
246	142	434
247	143	433
248	143	432
249	143	431
250	144	431
251	145	430
252	145	429
253	145	428
254	146	428
255	147	427
256	147	427
257	148	426
258	148	425
259	149	425
260	149	424
261	150	423
262	150	422
263	151	422
264	151	421
265	152	421
266	153	420
267	153	420
268	154	418
269	154	417
270	155	417
271	155	416
272	155	414
273	156	414
274	156	412
275	156	411
276	157	411
277	158	410
278	158	409
279	158	408
280	159	407
281	160	407
282	160	406
283	160	405
284	161	405
285	161	404
286	162	403
287	163	403
288	163	401
289	163	401
