제목,저자,출판사,정가,판매가,출간일
The Python - 파이썬 프로그래밍&#40;합본&#41; &#40;판매중단&#41;,허진경,부크크(Bookk),54800,54800,2019-07-19
파이썬을 활용한 크롤러 개발과 스크레이핑 입문(위키북스 데이터 사이언스...,카토 카츠야/요코야마 유우키,위키북스,30000,27000,2019-07-24
빠르게 활용하는 파이썬 3.2 프로그래밍(개정증보판)(위키북스 프로그래밍...,신호철/우상정/최동진,위키북스,28000,-1,2012-04-12
미적분과 벡터해석 기초,심성아/윤기헌,경문사,15000,14550,2020-03-02
밑바닥부터 시작하는 딥러닝 2,사이토 고키,한빛미디어,29000,26100,2019-05-01
파이썬으로 자동 환율 알리미 만들기 :여행 전 환율이 신경쓰이는 여행자를...,손인균,스타일라이프,5000,-1,2019-01-17
이한영의 Django(장고) 입문,이한영,디지털북스,25000,22500,2023-03-10
밑바닥부터 시작하는 딥러닝 3,사이토 고키,한빛미디어,38000,34200,2020-11-10
Automate the Boring Stuff with Python,알 스웨이가트,No Starch Press,52000,39000,2019-10-15
Do it! 데이터 분석을 위한 판다스 입문,다니엘 첸,이지스퍼블리싱,25000,22500,2023-11-20
수치해석(이공학도를 위한),최덕기,학산미디어,25000,24000,2017-09-05
파이토치 라이트닝으로 시작하는 딥러닝,Sawarkar Kunal/시밤 R. 솔란키/아밋 조글카르,에이콘출판,35000,31500,2023-09-26
데이터 분석가가 반드시 알아야 할 모든 것,황세웅,위키북스,38000,34200,2023-01-19
Do it! 점프 투 장고,박응용,이지스퍼블리싱,19800,17820,2021-01-06
코딩 없이(Low code) 클릭으로 한 번에 빅데이터 분석하기,윤우제/이래중,ORP Press,15000,13500,2023-05-31
Natural Language Processing with Python,Bird Steven/ Klein Ewan/ Loper Edward,Oreilly & Associates,79710,65000,2009-06-01
Python for Data Analysis,,,68575,68575,2012-11-01
Quantum Machine Learning with Python,Pattanayak Santanu,Apress,55560,46180,2021-04-28
Image Processing Masterclass with Python,Dey Sandipan,Bpb Publications,40900,35880,2021-03-10
CODING BASICS PYTHON,김상민/장성식/김일태,렉스미디어닷넷,20000,18000,2022-02-10
Python Programming in Context 2/E (Paperback),Miller,Jones and Bartlett Publishers,,43000,42570,2013-01-01
Hands-On Time Series Analysis with Python,Vishwas B V/Patel Ashish,Apress,52000,45460,2020-10-29
Learning Scientific Programming with Python,Christian (University College London) Hill,,64570,52570,2016-02-04
Do it! 점프 투 플라스크,박응용,이지스퍼블리싱,19800,17820,2020-11-25
차근차근 실습하며 배우는 파이토치 딥러닝 프로그래밍,아카이시 마사노리,위키북스,32000,28800,2022-08-18
생활 속 예제로 배우는 생생 데이터 분석,조인석,한빛아카데미,23000,23000,2023-01-01
인공지능,천인국,인피니티북스,33000,33000,2023-03-10
머신러닝과 인과분석,김양석/노미진/한무명초,박영사,19000,19000,2023-08-30
인공지능, 주식투자 좀 부탁해,곽경일,비제이퍼블릭,25000,22500,2023-06-07
실전 알고리듬 트레이딩 레벨업,안드레아스 F. 클레노우,에이콘출판,40000,36000,2022-07-29
Pandas Cookbook,매트 해리슨/시어도어 페트로우,에이콘출판,45000,40500,2020-12-29
데이터 과학을 위한 통계,피터 브루스/앤드루 브루스/피터 게데크,한빛미디어,34000,30600,2021-05-07
XAI, 설명 가능한 AI,오오쓰보 나오키/나카에 도시히로/후카사와 유타/도요카 쇼/사카모토 뎃페이/사토 마코토,비제이퍼블릭,27000,24300,2022-11-24
Level Up Python,박희수,북팟,29800,29800,2023-03-22
Python 프로그래밍,서문석,퍼플,11500,11500,2017-03-30
Learning Scientific Programming with Python,Hill Christian,Cambridge University Press,59120,59000,2020-11-30
25시간만에 배우는 머신러닝 예제,김준석/김상권/한현수/김영록,이모션미디어,15000,15000,2018-01-31
스마트한 컴퓨터 프로그래밍 기초,임동균/박일선,한티미디어,27000,27000,2023-03-31
Behavioral Data Analysis with R and Python,,,130980,120187,2021-07-06
The Python 3 Standard Library by Example,더그 헬먼,에이콘출판,58000,52200,2020-06-30
Fluent Python,Ramalho Luciano,O'Reilly Media,58000,58000,2015-08-20
Python Tricks,Bader Dan,Dan Bader,38000,33040,2017-10-25
Learning Python,Lutz Mark,O'Reilly Media,101460,60800,2013-01-01
Introducing Python,빌 루바노빅,O'Reilly Media,48000,38400,2015-03-18
Python for Finance,이브 힐피시,O'Reilly Media,58490,40000,2015-01-23
Python Pocket Reference,Lutz Mark,Oreilly & Associates,17500,14000,2014-07-16
Introducing Python,빌 루바노빅,O'Reilly Media,62000,60140,2019-12-10
Text Analytics with Python,Sarkar Dipanjan,Apress,55000,44000,2017-05-19
Coding Projects in Python,Dorling Kindersley Inc (COR),DK Publishing (Dorling Kindersley),28720,18000,2017-06-06
Python Data Science Essentials,Boschetti Alberto,Packt Publishing,49500,47760,2015-07-27
