상품명,제조사,칩셋명,가격,판매몰,출시일
이엠텍 지포스 RTX 4060 STORM X Dual OC D6 8GB,이엠텍,RTX 4060,429580.0,292,2023-08-01
이엠텍 지포스 RTX 4060 Ti STORM X Dual OC D6 8GB,이엠텍,RTX 4060 Ti,543350.0,362,2023-05-01
이엠텍 지포스 RTX 3060 STORM X Dual OC D6 12GB,이엠텍,RTX 3060,364900.0,400,2021-02-01
이엠텍 지포스 GTX 1660 SUPER MIRACLE II D6 6GB,이엠텍,GTX 1660 SUPER,244390.0,333,2023-01-01
MSI 지포스 RTX 4060 Ti 벤투스 2X 블랙 OC D6 8GB,MSI,RTX 4060 Ti,546290.0,307,2023-05-01
MSI 지포스 RTX 4060 Ti 벤투스 2X 블랙 OC D6 16GB,MSI,RTX 4060 Ti,596110.0,246,2023-08-01
이엠텍 지포스 RTX 4070 Ti GAMINGPRO D6X 12GB,이엠텍,RTX 4070 Ti,1134490.0,395,2023-01-01
이엠텍 지포스 RTX 4090 GAMEROCK OC D6X 24GB,이엠텍,RTX 4090,2964000.0,106,2022-10-01
GIGABYTE 지포스 RTX 4070 Ti WINDFORCE OC D6X 12GB 제이씨현,GIGABYTE,RTX 4070 Ti,1092000.0,265,2023-04-01
MSI 지포스 RTX 4070 Ti 게이밍 X 슬림 D6X 12GB 트라이프로져3,MSI,RTX 4070 Ti,1168920.0,269,2023-09-01
MSI 지포스 RTX 4070 게이밍 X 트리오 D6X 12GB 트라이프로져3,MSI,RTX 4070,872710.0,324,2023-04-01
MSI 지포스 RTX 4060 벤투스 2X 블랙 OC D6 8GB,MSI,RTX 4060,417210.0,266,2023-06-01
이엠텍 지포스 RTX 3060 Ti MIRACLE II D6 8GB,이엠텍,RTX 3060 Ti,455640.0,41,2023-08-01
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,MSI,RTX 3060,381300.0,314,2021-03-01
이엠텍 지포스 RTX 4080 BLACK STORM D6X 16GB,이엠텍,RTX 4080,1552130.0,28,2023-04-01
GIGABYTE 지포스 RTX 4060 Ti WINDFORCE OC D6 8GB 피씨디렉트,GIGABYTE,RTX 4060 Ti,535070.0,244,2023-06-01
이엠텍 지포스 RTX 4070 STORM X Dual D6X 12GB,이엠텍,RTX 4070,788820.0,341,2023-04-01
GIGABYTE 지포스 RTX 4060 WINDFORCE OC D6 8GB 제이씨현,GIGABYTE,RTX 4060,397380.0,273,2023-06-01
MSI 지포스 RTX 4090 슈프림 X D6X 24GB 트라이프로져3S,MSI,RTX 4090,3083300.0,175,2022-10-01
이엠텍 지포스 RTX 4060 MIRACLE WHITE D6 8GB,이엠텍,RTX 4060,420150.0,239,2023-08-01
MSI 지포스 RTX 4070 벤투스 2X OC D6X 12GB,MSI,RTX 4070,808450.0,275,2023-04-01
ZOTAC GAMING 지포스 RTX 4060 Ti TWIN Edge D6 8GB,ZOTAC,RTX 4060 Ti,528080.0,265,2023-05-01
ASUS DUAL 지포스 RTX 4060 O8G OC D6 8GB White,ASUS,RTX 4060,450000.0,171,2023-06-01
ASUS ProArt 지포스 RTX 4070 Ti O12G OC D6X 12GB,ASUS,RTX 4070 Ti,1187240.0,191,2023-06-01
이엠텍 지포스 RTX 4070 Ti BLACK STORM D6X 12GB,이엠텍,RTX 4070 Ti,1113350.0,312,2023-06-01
MSI 지포스 RTX 4060 Ti 게이밍 X D6 16GB 트윈프로져9,MSI,RTX 4060 Ti,606100.0,251,2023-08-01
MSI 지포스 RTX 4060 게이밍 X D6 8GB 트윈프로져9,MSI,RTX 4060,448950.0,242,2023-06-01
GIGABYTE 지포스 RTX 4090 Gaming OC D6X 24GB 제이씨현,GIGABYTE,RTX 4090,3067990.0,107,2022-10-01
MSI 지포스 RTX 3050 벤투스 2X XS OC D6 8GB,MSI,RTX 3050,298680.0,184,2023-09-01
GIGABYTE 지포스 RTX 3060 WINDFORCE OC D6 12GB 제이씨현,GIGABYTE,RTX 3060,370280.0,248,2022-08-01
ASUS DUAL 지포스 RTX 4060 O8G OC D6 8GB,ASUS,RTX 4060,442260.0,96,2023-06-01
이엠텍 지포스 RTX 4070 GAMINGPRO D6X 12GB,이엠텍,RTX 4070,812000.0,114,2023-04-01
갤럭시 GALAX 지포스 RTX 4060 Ti OC D6 8GB,갤럭시,RTX 4060 Ti,559520.0,241,2023-05-01
MSI 지포스 RTX 4070 Ti 게이밍 X 슬림 화이트 D6X 12GB 트라이프로져3,MSI,RTX 4070 Ti,1142880.0,235,2023-08-01
ZOTAC GAMING 지포스 RTX 4060 TWIN Edge OC D6 8GB,ZOTAC,RTX 4060,413720.0,231,2023-07-01
갤럭시 GALAX 지포스 RTX 4070 Ti EX GAMER WHITE OC V2 D6X 12GB,갤럭시,RTX 4070 Ti,1241670.0,202,2023-07-01
ASUS DUAL 지포스 RTX 4060 Ti O8G OC D6 8GB,ASUS,RTX 4060 Ti,552200.0,260,2023-05-01
GIGABYTE 지포스 RTX 4070 WINDFORCE OC D6X 12GB 제이씨현,GIGABYTE,RTX 4070,818460.0,285,2023-04-01
GIGABYTE 지포스 RTX 4080 WINDFORCE D6X 16GB 제이씨현,GIGABYTE,RTX 4080,1696960.0,156,2023-06-01
ASUS TUF Gaming 지포스 RTX 4070 O12G OC D6X 12GB,ASUS,RTX 4070,919980.0,148,2023-04-01
MSI 지포스 RTX 3060 벤투스 2X OC D6 8GB,MSI,RTX 3060,351510.0,294,2022-11-01
GIGABYTE 지포스 RTX 4090 WINDFORCE V2 D6X 24GB 제이씨현,GIGABYTE,RTX 4090,2943190.0,107,2023-06-01
COLORFUL 지포스 RTX 4060 토마호크 DUO D6 8GB,COLORFUL,RTX 4060,405960.0,243,2023-06-01
갤럭시 GALAX 지포스 RTX 4060 Ti EX WHITE OC D6 8GB,갤럭시,RTX 4060 Ti,634460.0,312,2023-05-01
이엠텍 지포스 RTX 4060 Ti MIRACLE WHITE D6 8GB,이엠텍,RTX 4060 Ti,552540.0,231,2023-08-01
ZOTAC GAMING 지포스 RTX 4070 TWIN Edge OC D6X 12GB,ZOTAC,RTX 4070,778140.0,267,2023-04-01
COLORFUL iGame 지포스 RTX 4060 ULTRA DUO OC D6 8GB White,COLORFUL,RTX 4060,429760.0,189,2023-08-01
ASUS ProArt 지포스 RTX 4080 O16G OC D6X 16GB,ASUS,RTX 4080,1639990.0,154,2023-06-01
갤럭시 GALAX 지포스 GTX 1650 V2 D6 4GB LP,갤럭시,GTX 1650,219990.0,186,2023-07-01
MSI 지포스 RTX 4080 게이밍 X 트리오 D6X 16GB 트라이프로져3,MSI,RTX 4080,1682260.0,123,2022-11-01
이엠텍 지포스 RTX 4060 Ti STORM X Dual D6 8GB,이엠텍,RTX 4060 Ti,546220.0,326,2023-05-01
ASUS DUAL 지포스 RTX 4060 Ti O16G OC D6 16GB,ASUS,RTX 4060 Ti,715080.0,157,2023-08-01
ZOTAC GAMING 지포스 RTX 4070 Ti Trinity OC D6X 12GB,ZOTAC,RTX 4070 Ti,1101200.0,156,2023-01-01
GAINWARD 지포스 RTX 4090 팬텀 GS D6X 24GB,GAINWARD,RTX 4090,3189000.0,8,2022-10-01
MSI 지포스 RTX 4070 Ti 벤투스 3X OC D6X 12GB,MSI,RTX 4070 Ti,1118730.0,97,2023-01-01
GIGABYTE 지포스 RTX 4070 Ti WINDFORCE OC D6X 12GB 피씨디렉트,GIGABYTE,RTX 4070 Ti,1109590.0,255,2023-04-01
ASUS ROG STRIX 지포스 RTX 4090 O24G GAMING OC D6X 24GB,ASUS,RTX 4090,3517840.0,192,2022-10-01
갤럭시 GALAX 지포스 RTX 4070 EX GAMER WHITE OC D6X 12GB,갤럭시,RTX 4070,853400.0,274,2023-04-01
ZOTAC GAMING 지포스 RTX 4080 AMP EXTREME AIRO D6X 16GB White,ZOTAC,RTX 4080,1683600.0,59,2023-02-01
갤럭시 GALAX 지포스 RTX 4060 2X OC D6 8GB,갤럭시,RTX 4060,430840.0,218,2023-06-01
GIGABYTE 지포스 RTX 4070 Ti Gaming OC D6X 12GB 제이씨현,GIGABYTE,RTX 4070 Ti,1190750.0,238,2023-01-01
MSI 지포스 GTX 1650 벤투스 XS OC V3 D6 4GB,MSI,GTX 1650,196000.0,157,2023-09-01
GIGABYTE 지포스 RTX 3060 Gaming OC V2 D6 8GB 제이씨현,GIGABYTE,RTX 3060,351470.0,174,2023-04-01
ASUS TUF Gaming 지포스 RTX 4090 O24G OC D6X 24GB,ASUS,RTX 4090,3281260.0,155,2022-10-01
GIGABYTE 지포스 RTX 4070 Ti AERO OC V2 D6X 12GB 피씨디렉트,GIGABYTE,RTX 4070 Ti,1217680.0,201,2023-06-01
ZOTAC GAMING 지포스 RTX 4060 TWIN Edge OC D6 8GB White,ZOTAC,RTX 4060,434290.0,195,2023-07-01
ZOTAC GAMING 지포스 RTX 3060 TWIN Edge OC D6 12GB LHR,ZOTAC,RTX 3060,381940.0,263,2021-07-01
GIGABYTE 지포스 RTX 4070 EAGLE OC D6X 12GB 피씨디렉트,GIGABYTE,RTX 4070,857120.0,217,2023-04-01
ZOTAC GAMING 지포스 RTX 3060 TWIN Edge D6 8GB,ZOTAC,RTX 3060,340050.0,256,2022-11-01
GIGABYTE 지포스 RTX 4070 EAGLE OC D6X 12GB 제이씨현,GIGABYTE,RTX 4070,831930.0,193,2023-04-01
