tong,male50AgeNmprCnt,feml40AgeNmprCnt,male80AgeNmprCnt,male20AgeNmprCnt,stdgNm,ban,totNmprCnt,feml0AgeNmprCnt,male40AgeNmprCnt,ctpvNm,male90AgeNmprCnt,dongNm,feml10AgeNmprCnt,feml50AgeNmprCnt,male10AgeNmprCnt,feml100AgeNmprCnt,feml90AgeNmprCnt,male30AgeNmprCnt,feml20AgeNmprCnt,feml60AgeNmprCnt,femlNmprCnt,stdgCd,liNm,feml30AgeNmprCnt,male0AgeNmprCnt,feml80AgeNmprCnt,male100AgeNmprCnt,maleNmprCnt,sggNm,male60AgeNmprCnt,male70AgeNmprCnt,feml70AgeNmprCnt,admmCd,statsYm
,11854,9903,2674,10174,,,139417,2930,9291,서울특별시,315,,4963,12061,4776,26,646,9648,11322,10324,72111,1111000000,,9674,2989,3970,9,67306,종로구,10365,5211,6292,,202312
,9529,8225,2101,7979,,,121312,2751,8544,서울특별시,228,,3066,9539,3090,22,648,10432,9558,9196,62653,1114000000,,10432,2879,3460,5,58659,중구,9137,4735,5756,,202312
,16765,15818,3409,13849,,,213151,5429,15470,서울특별시,429,,6691,17552,6929,44,986,18615,16254,15032,110839,1117000000,,18795,5660,5496,12,102312,용산구,14294,6880,8742,,202312
,21870,20401,3976,19821,,,277361,8203,20525,서울특별시,333,,8927,22579,8924,30,920,22357,21158,19695,142842,1120000000,,23307,8690,6341,14,134519,성동구,18883,9126,11281,,202312
,25844,24530,4442,27297,,,335554,7420,23573,서울특별시,390,,11802,27312,12002,30,1023,27423,31552,23771,174277,1121500000,,27520,7788,6486,13,161277,광진구,21765,10740,12831,,202312
,26513,23627,5654,27005,,,341149,9004,25068,서울특별시,442,,11119,26027,11488,46,1188,25472,29867,24918,173803,1123000000,,23990,9298,8426,11,167346,동대문구,23638,12757,15591,,202312
,31934,25447,5996,23994,,,382155,9376,27692,서울특별시,433,,11691,32796,12269,45,1400,29472,26048,32675,194783,1126000000,,28345,9738,8884,8,187372,중랑구,30643,15193,18076,,202312
,34948,32249,6874,30425,,,425602,11729,31187,서울특별시,600,,17211,36001,17791,44,1612,28099,34268,30765,221431,1129000000,,28014,12368,10537,15,204171,성북구,27235,14629,19001,,202312
,24859,19309,5913,18226,,,288113,5626,20593,서울특별시,442,,9385,25406,9756,34,1162,18431,19929,25274,148599,1130500000,,16566,5949,8898,13,139514,강북구,22582,12750,17010,,202312
,25879,21187,5834,18646,,,306948,6877,21327,서울특별시,523,,10789,28384,11583,43,1411,19325,18793,27990,158152,1132000000,,18282,7365,8743,15,148796,도봉구,24988,13311,15653,,202312
,41670,39414,7146,33591,,,498213,12789,35987,서울특별시,725,,22741,44771,24431,68,2158,30600,32710,39241,259096,1135000000,,30422,13636,12507,17,239117,노원구,33876,17438,22275,,202312
,37505,35525,7923,28844,,,466770,11892,34716,서울특별시,617,,17342,40332,18197,42,1633,32388,32951,37006,245045,1138000000,,33965,12382,11822,15,221725,은평구,31838,17300,22535,,202312
,23609,22355,5132,22523,,,306231,8570,21898,서울특별시,470,,11073,25284,11050,49,1240,22050,25909,21868,160827,1141000000,,22857,8953,8159,13,145404,서대문구,19493,10213,13463,,202312
,27235,29387,5032,25842,,,363697,10093,27547,서울특별시,538,,13243,28799,13232,41,1256,30146,33058,22421,193707,1144000000,,33661,10535,7959,9,169990,마포구,19936,9938,13789,,202312
,36952,37825,5005,26412,,,436028,12349,34708,서울특별시,441,,22861,37871,24873,52,1520,26379,26112,32812,223193,1147000000,,26693,13030,7880,13,212835,양천구,29829,15193,17218,,202312
,40386,43028,6870,35814,,,563058,15315,43392,서울특별시,639,,20350,42793,21467,66,2083,48196,43364,43389,293236,1150000000,,48458,15874,10983,16,269822,강서구,36969,20199,23407,,202312
,30688,28562,6005,24527,,,392405,10901,29840,서울특별시,443,,13857,31234,14361,40,1266,31127,26344,30913,200064,1153000000,,29972,11533,8478,9,192341,구로구,27748,16060,18497,,202312
,18843,13729,3387,16848,,,227481,4848,15815,서울특별시,265,,6394,18671,6533,24,708,20881,18126,18426,113067,1154500000,,17073,5036,4882,8,114414,금천구,17899,8899,10186,,202312
,27977,26194,5568,25876,,,374794,10846,27793,서울특별시,527,,11118,27398,11835,43,1239,35882,31137,25033,191068,1156000000,,35012,11331,7960,16,183726,영등포구,24102,12819,15088,,202312
,27804,27277,5958,30782,,,378769,9834,27344,서울특별시,519,,12686,29507,13308,40,1351,30406,32943,27100,195616,1159000000,,29460,10237,8301,15,183153,동작구,23482,13298,17117,,202312
,33668,28592,7245,52059,,,481956,7987,33113,서울특별시,483,,12365,32138,12714,43,1340,49472,55320,31959,239305,1162000000,,38968,8493,9714,10,242651,관악구,28459,16935,20879,,202312
,32264,38812,5380,23798,,,407664,13554,33432,서울특별시,530,,22131,32944,22675,48,1231,26370,26100,25649,213373,1165000000,,30593,14264,6472,15,194291,서초구,22356,13207,15839,,202312
,42782,53560,6697,31857,,,544873,15998,45417,서울특별시,637,,29545,42985,32263,73,1684,36826,35728,33602,284353,1168000000,,41945,17007,8215,16,260520,강남구,29208,17810,21018,,202312
,48647,54818,7341,39820,,,654166,20906,51645,서울특별시,654,,28195,52387,29258,73,2089,50036,44799,47676,339819,1171000000,,54753,22408,9905,18,314347,송파구,42062,22458,24218,,202312
,34735,37298,5462,27220,,,459167,14887,37084,서울특별시,436,,18320,36026,20541,63,1493,33882,29232,36348,234744,1174000000,,34733,16005,7712,14,224423,강동구,32068,16976,18632,,202312
,3309,2046,904,2571,,,38619,395,2362,부산광역시,78,,849,3034,813,18,255,2278,2824,4056,19916,2611000000,,1981,480,1553,1,18703,중구,3705,2202,2905,,202312
,8580,6623,2334,5879,,,104089,2335,6864,부산광역시,172,,3424,8288,3577,10,656,5301,6348,10179,54061,2614000000,,5076,2551,4051,6,50028,서구,9208,5556,7071,,202312
,7371,5240,1980,4508,,,87792,1943,6164,부산광역시,155,,2271,6812,2387,10,524,5778,4815,8453,45056,2617000000,,5220,2035,3600,3,42736,동구,7624,4731,6168,,202312
,9132,6474,2605,5356,,,106548,2130,7104,부산광역시,174,,3277,8627,3419,17,604,5233,4415,11411,54231,2620000000,,4431,2199,4512,2,52317,영도구,10585,6508,8333,,202312
,27427,24449,5866,23481,,,359508,9545,25228,부산광역시,438,,11843,28937,12061,33,1377,25537,26019,31379,186901,2623000000,,24570,9942,9903,6,172607,부산진구,27637,14984,18846,,202312
