iter	RMSE
0	465526.4583
1	410422.93
2	377466.7492
3	353364.1881
4	335041.2278
5	308813.1567
6	282145.8445
7	265834.3366
8	251786.3816
9	237356.555
10	227143.2838
11	218256.6036
12	209423.7809
13	199334.4184
14	191377.0815
15	185973.704
16	181610.2098
17	176768.1339
18	173164.1582
19	169867.447
20	165288.4849
21	162372.3507
22	159611.9128
23	157286.4733
24	152180.2604
25	150271.6063
26	148495.4053
27	147266.4905
28	145766.4873
29	144435.8814
30	141994.5398
31	139110.383
32	137700.3766
33	134317.1843
34	132310.2181
35	130990.7189
36	130258.7254
37	128871.8387
38	127120.8807
39	125705.026
40	124643.16
41	123957.8604
42	123342.1052
43	122707.2202
44	120976.4488
45	119779.1666
46	118650.3766
47	117426.8723
48	116252.8404
49	114779.8784
50	113249.8868
51	112594.0595
52	111956.9342
53	111280.4338
54	110770.3994
55	109816.3038
56	108922.2089
57	108427.7002
58	107540.6525
59	106735.4747
60	106247.9107
61	105458.4736
62	104809.8572
63	103752.5711
64	103178.1207
65	102782.0224
66	102398.4164
67	101860.6357
68	101014.5961
69	100573.0048
70	100269.3431
71	99405.12457
72	98320.64342
73	97938.13815
74	97437.39625
75	96693.58281
76	96253.52219
77	95801.66329
78	95325.2714
79	94693.23052
80	94449.06256
81	94080.42142
82	93581.57479
83	92608.07818
84	91870.49207
85	91417.95581
86	91064.1546
87	90639.82787
88	90169.40214
89	89926.16582
90	89435.39343
91	89098.4015
92	88805.19806
93	88360.68051
94	88076.15261
95	87755.85902
96	87466.40433
97	87060.22338
98	86851.50104
99	86448.81735
100	86259.8599
101	85948.74611
102	85777.32985
103	85480.34922
104	85157.60876
105	84741.96405
106	84211.81337
107	83771.51305
108	83434.58694
109	82977.51458
110	82624.53038
111	82144.8348
112	81886.98967
113	81572.43562
114	81291.48584
115	81029.68745
116	80820.92783
117	80538.25002
118	80380.46023
119	80097.85339
120	79685.69265
121	79466.57601
122	79065.02588
123	78838.85473
124	78656.76425
125	78395.32201
126	78023.9237
127	77739.75615
128	77442.119
129	77040.29332
130	76831.17571
131	76435.4004
132	76153.9605
133	76034.60413
134	75797.68454
135	75455.66096
136	75006.73415
137	74812.5607
138	74380.94925
139	74179.2363
140	73958.68461
141	73757.70234
142	73570.77834
143	73363.91128
144	73193.12228
145	73007.56773
146	72846.77691
147	72597.09717
148	72429.11725
149	72178.72597
150	72002.14464
151	71756.9288
152	71590.3509
153	71277.58123
154	71177.54051
155	70964.58504
156	70756.44731
157	70523.60177
158	70270.9977
159	70023.10982
160	69860.35759
161	69685.90728
162	69551.15593
163	69418.12045
164	69124.77927
165	68932.76115
166	68800.9195
167	68575.59468
168	68273.99494
169	68064.38218
170	67920.95508
171	67699.76971
172	67516.46065
173	67335.05484
174	67196.03026
175	66896.88447
176	66703.99838
177	66406.67177
178	66309.02012
179	66148.73701
180	65858.28129
181	65753.36763
182	65587.06275
183	65416.98763
184	65139.91168
185	64985.05065
186	64852.81592
187	64662.65104
188	64519.08618
189	64401.13861
190	64203.07728
191	64048.27062
192	63920.12053
193	63802.41273
194	63710.36015
195	63578.42467
196	63522.36538
197	63406.69447
198	63099.58138
199	62962.71726
200	62815.51771
201	62536.22283
202	62394.3318
203	62215.86029
204	62043.73693
205	61942.3457
206	61837.75335
207	61718.52308
208	61642.73047
209	61533.95498
210	61426.97837
211	61279.51906
212	61025.57734
213	60915.18266
214	60809.08665
215	60709.66971
216	60565.60519
217	60472.9147
218	60336.44553
219	60126.46742
220	59964.22374
221	59833.9705
222	59728.8692
223	59654.23963
224	59538.12447
225	59484.27132
226	59331.76727
227	59073.27263
228	58956.72945
229	58839.17707
230	58566.44929
231	58479.88119
232	58331.65555
233	58221.22564
234	58075.73539
235	57916.36941
236	57817.46512
237	57754.54731
238	57597.37318
239	57423.00157
240	57123.27455
241	56961.23194
242	56810.5902
243	56718.23238
244	56593.05591
245	56406.17555
246	56256.8825
247	56180.35867
248	56093.47881
249	56009.28126
250	55897.6567
251	55764.25441
252	55679.34268
253	55563.66481
254	55447.93735
255	55369.28405
256	55278.62396
257	55181.3046
258	55076.3528
259	54953.50272
260	54903.5041
261	54761.9922
262	54634.30019
263	54492.4706
264	54429.56052
265	54325.65392
266	54217.5029
267	54125.91773
268	53970.23505
269	53836.54375
270	53774.00537
271	53638.77624
272	53518.86684
273	53439.1493
274	53305.44224
275	53158.54547
276	52989.27892
277	52906.53854
278	52838.71812
279	52720.73049
280	52587.33141
281	52523.73886
282	52376.37816
283	52313.50196
284	52247.33915
285	52118.7986
286	52044.59271
287	51965.17711
288	51866.89009
289	51754.83658
290	51631.6736
291	51501.54128
292	51376.17053
293	51285.64232
294	51170.3889
295	51085.4164
296	50965.29327
297	50888.30107
298	50793.53524
299	50696.12959
300	50593.91141
301	50544.9013
302	50462.28471
303	50375.36466
304	50295.39708
305	50180.3703
306	50128.44556
307	49934.55208
308	49891.97411
309	49804.54913
310	49721.47745
311	49616.31757
312	49476.99969
313	49337.27692
314	49292.23536
315	49205.16115
316	49159.4276
317	49082.93166
318	49001.70061
319	48889.06697
320	48790.47929
321	48642.59392
322	48572.15947
323	48463.13247
324	48390.38725
325	48298.77169
326	48218.3171
327	48146.95678
328	48092.14754
329	47939.32827
330	47879.8196
331	47796.48638
332	47713.71966
333	47652.3576
334	47552.05008
335	47466.62338
336	47354.23615
337	47301.86062
338	47225.09397
339	47098.58462
340	47020.34425
341	46982.6789
342	46889.24775
343	46802.21334
344	46735.75897
345	46636.64457
346	46584.0288
347	46569.43072
348	46516.33568
349	46482.41704
350	46401.86254
351	46238.03381
352	46098.31974
353	46013.75666
354	45940.38071
355	45911.22275
356	45836.09003
357	45738.56381
358	45653.60501
359	45601.4111
360	45505.59049
361	45442.86968
362	45330.03039
363	45260.03308
364	45173.41942
365	45075.9345
366	45005.28412
367	44959.47468
368	44858.90016
369	44782.07823
370	44727.96447
371	44681.06141
372	44639.60046
373	44569.19142
374	44485.36553
375	44419.59421
376	44362.51148
377	44292.21709
378	44238.3613
379	44156.80204
380	44110.33896
381	43997.35572
382	43953.00161
383	43911.62415
384	43842.42357
385	43765.35178
386	43686.63741
387	43632.89846
388	43531.34343
389	43452.7165
390	43386.18814
391	43330.91044
392	43296.66686
393	43201.76498
394	43133.8353
395	43008.12473
396	42924.08091
397	42857.10075
