iter	MultiClass
0	1.358458113
1	1.331224792
2	1.30909508
3	1.290114417
4	1.273604628
5	1.260224718
6	1.247316995
7	1.23760962688	1.22902631299	1.222025637110	1.21437861
11	1.20828679
12	1.202041868
13	1.197268104
14	1.192292651
15	1.188215934
16	1.184523623
17	1.180621278
18	1.178042978
19	1.175689358
20	1.173033004
21	1.170697641
22	1.16799377
23	1.16578633
24	1.163869126
25	1.161771664
26	1.159995477
27	1.158689952
28	1.157178579
29	1.15555811
30	1.153436615
31	1.151624266
32	1.150358871
33	1.149247003
34	1.147783959
35	1.146679298
36	1.145484114
37	1.143830255
38	1.142462156
39	1.141348014
40	1.14025787
41	1.139562932
42	1.138484482
43	1.137722787
44	1.137142679
45	1.136060195
46	1.134820918
47	1.133886035
48	1.133288961
49	1.131991151
50	1.130900186
51	1.129979524
52	1.128734688
53	1.128202464
54	1.127130507
55	1.125990698
56	1.125041029
57	1.124202321
58	1.123330764
59	1.122747791
60	1.121903698
61	1.121577181
62	1.120943643
63	1.120253452
64	1.119339444
65	1.118903459
66	1.118293354
67	1.117438419
68	1.11666341
69	1.11614221
70	1.115271207
71	1.114759826
72	1.114160037
73	1.11318943
74	1.112465473
75	1.111740616
76	1.111122189
77	1.110509296
78	1.109595012
79	1.108843389
80	1.108238118
81	1.107520864
82	1.106894821
83	1.106136466
84	1.105428548
85	1.104781717
86	1.104349009
87	1.103988001
88	1.103274032
89	1.102619254
90	1.102041567
91	1.101626493
92	1.100973816
93	1.100126631
94	1.09920623
95	1.098706516
96	1.098117619
97	1.097463741
98	1.0966512
99	1.096076891
100	1.095441223
101	1.094809296
102	1.093747515
103	1.093378322
104	1.092782459
105	1.092097203
106	1.091458682
107	1.090825061
108	1.089971717
109	1.08941626
110	1.088833381
111	1.087975005
112	1.087434618
113	1.087006754
114	1.086509954
115	1.085900928
116	1.085467012
117	1.08467066
118	1.084039593
119	1.083477986
120	1.082921512
121	1.08266623
122	1.082132445
123	1.081611668
124	1.080884954
125	1.080087094
126	1.079807294
127	1.079223958
128	1.078441093
129	1.07786951
130	1.077260936
131	1.076581177
132	1.076043409
133	1.075512639
134	1.075025265
135	1.074197149
136	1.073625005
137	1.072953981
138	1.072070634
139	1.071492199
140	1.070652827
141	1.070042392
142	1.069342837
143	1.068796918
144	1.068263241
145	1.067713776
146	1.066752684
147	1.06635708
148	1.065936542
149	1.06534227
150	1.064855463
151	1.064110636
152	1.063436164
153	1.063028038
154	1.062215058
155	1.061676939
156	1.061050353
157	1.060332914
158	1.059515775
159	1.059006698
160	1.05850029
161	1.05823958
162	1.057786523
163	1.057370453
164	1.056651205
165	1.055928699
166	1.05546079
167	1.055027146
168	1.054594413
169	1.054003741
170	1.053395776
171	1.053072537
172	1.05265988
173	1.052294379
174	1.051845468
175	1.051294251
176	1.050930161
177	1.05051652
178	1.05011838
179	1.049894017
180	1.049501456
181	1.04901361
182	1.048464543
183	1.047930086
184	1.047570988
185	1.047269843
186	1.046657004
187	1.046231983
188	1.045774958
189	1.045489372
190	1.045014744
191	1.044397403
192	1.044004331
193	1.043363899
194	1.043126651
195	1.042856899
196	1.042479998
197	1.042085505
198	1.041606161
199	1.040840873
200	1.040599416
201	1.040342077
202	1.039821891
203	1.039512122
204	1.038654069
205	1.038115881
206	1.037738865
207	1.03723517
208	1.036546878
209	1.036293361
210	1.035863924
211	1.035640719
212	1.035172255
213	1.034626937
214	1.034161756
215	1.033751017
216	1.033289028
217	1.032800284
218	1.03231754
219	1.031826522
220	1.031538968
221	1.030945793
222	1.030543289
223	1.030267695
224	1.029892497
225	1.02947299
226	1.0292088
227	1.028803448
228	1.028302787
229	1.027612487
230	1.026882145
231	1.026435309
232	1.026083931
233	1.025537357
234	1.025106409
235	1.024726773
236	1.02435064
237	1.024071755
238	1.023715128
239	1.023186996
240	1.022913664
241	1.02227287
242	1.021870333
243	1.021267953
244	1.020708375
245	1.020363523
246	1.019723211
247	1.019257364
248	1.01896673
249	1.018604947
250	1.018307158
251	1.017993882
252	1.017636561
253	1.01735549
254	1.016930828
255	1.016564097
256	1.015842045
257	1.015357975
258	1.01487943
259	1.014431271
260	1.013981683
261	1.013527815
262	1.013100108
263	1.012783215
264	1.012301846
265	1.012103724
266	1.011343264
267	1.010809116
268	1.010535718
269	1.010055178
270	1.009758582
271	1.009417278
272	1.008705334
273	1.008380571
274	1.007878666
275	1.007586771
276	1.007153745
277	1.006790919
278	1.006238534
279	1.005891053
280	1.005444491
281	1.004676828
282	1.004299576
283	1.003898892
284	1.003427838
285	1.003076624
286	1.002543828
287	1.002139945
288	1.001757088
289	1.001356075
290	1.000868192
291	1.000542482
292	1.000106073
293	0.9995375883
294	0.9990073127
295	0.9983965572
296	0.9981908616
297	0.9975199971
298	0.9970838201
299	0.9967296199
300	0.9961371134
301	0.9958326354
302	0.9955529014
303	0.9951866762
304	0.994809612
305	0.9942900787
306	0.9939434672
307	0.99334185
308	0.9931040266
309	0.9925282332
310	0.9922034898
311	0.991540588
312	0.9911973682
313	0.9908196976
314	0.9904992824
315	0.990212113
316	0.9895898489
317	0.989068318
318	0.9885669026
319	0.9879597847
320	0.9875821626
321	0.9872593135
