iter	Passed	Remaining
0	130	130569
1	139	69417
2	146	48776
3	155	38648
4	164	32767
5	173	28711
6	181	25686
7	189	23528
8	196	21680
9	203	20190
10	211	19055
11	221	18197
12	229	17429
13	237	16740
14	246	16158
15	254	15659
16	263	15221
17	272	14842
18	279	14450
19	288	14140
20	297	13854
21	306	13614
22	314	13355
23	322	13102
24	330	12891
25	338	12681
26	345	12455
27	354	12298
28	361	12101
29	369	11948
30	377	11815
31	385	11670
32	395	11599
33	404	11492
34	411	11345
35	418	11217
36	427	11135
37	435	11022
38	444	10948
39	452	10865
40	460	10781
41	467	10659
42	475	10579
43	482	10493
44	491	10433
45	500	10370
46	507	10287
47	516	10237
48	523	10167
49	531	10104550	540	10051
51	548	9990
52	556	9940
53	564	9896
54	572	9836
55	580	9791
56	588	9743
57	597	9697
58	604	9645959	611	9586060	619	9536161	626	9476262	633	9426363	642	9396464	650	9356565	659	9337
66	667	9296767	676	9272
68	685	9249
69	693	9215
70	701	9178
71	709	9141
72	718	9118
73	726	9095
74	734	9057
75	742	9022
76	749	8986
77	757	8954
78	765	8926
79	772	8887
80	781	8865
81	789	8840
82	798	8820
83	805	8782
84	815	8779
85	823	8748
86	831	8729
87	840	8707
88	847	8677
89	856	8657
90	864	8633
91	872	8614
92	881	8597
93	890	8582
94	899	8565
95	907	8542
96	915	8521
97	922	8493
98	930	8471
99	939	8453
100	946	8427
101	954	8403
102	963	8392
103	972	8375
104	980	8355
105	988	8340
106	996	8320
107	1005	8305
108	1014	8292
109	1022	8276
110	1030	8255
111	1039	8239
112	1046	8217
113	1055	8205
114	1063	8186
115	1071	8169
116	1080	8158
117	1089	8143
118	1097	8125
119	1105	8109
120	1113	8092
121	1121	8071
122	1130	8058
123	1136	8030
124	1144	8011
125	1152	7995
126	1159	7972
127	1167	7951
128	1176	7942
129	1184	7924
130	1193	7914
131	1201	7898
132	1208	7876
133	1215	7857
134	1223	7839
135	1232	7829
136	1240	7816
137	1248	7796
138	1257	7791
139	1266	7777
140	1274	7761
141	1281	7742
142	1289	7726
143	1297	7715
144	1305	7699
145	1315	7693
146	1324	7685
147	1332	7671
148	1340	7654
149	1348	7638
150	1356	7625
151	1364	7611
152	1372	7597
153	1379	7580
154	1388	7567
155	1395	7550
156	1404	7540
157	1413	7531
158	1423	7526
159	1430	7511
160	1438	7498
161	1446	7483
162	1453	7464
163	1461	7448
164	1469	7435
165	1477	7422
166	1485	7408
167	1493	7394
168	1501	7384
169	1508	7365
170	1516	7352
171	1524	7337
172	1532	7327
173	1540	7311
174	1549	7303
175	1556	7288
176	1565	7279
177	1573	7267
178	1582	7256
179	1590	7246
180	1598	7234
181	1605	7218
182	1613	7201
183	1621	7189
184	1629	7176
185	1637	7165
186	1645	7152
187	1653	7142
188	1662	7134
189	1670	7122
190	1678	7109
191	1686	7097
192	1694	7085
193	1702	7074
194	1710	7060
195	1718	7047
196	1726	7035
197	1734	7024
198	1741	7010
199	1749	6998
200	1757	6985
201	1763	6967
202	1772	6958
203	1780	6947
204	1787	6933
205	1795	6922
206	1805	6916
207	1813	6905
208	1821	6894
209	1828	6879
210	1837	6869
211	1846	6862
212	1854	6852
213	1863	6843
214	1870	6830
215	1878	6817
216	1886	6806
217	1894	6794
218	1901	6781
219	1909	6771
220	1918	6761
221	1925	6748
222	1934	6738
223	1942	6729
224	1951	6721
225	1959	6711
226	1967	6699
227	1975	6689
228	1984	6680
229	1992	6671
230	2000	6660
231	2008	6648
232	2018	6643
233	2025	6631
234	2033	6621
235	2042	6611
236	2051	6604
