iter	Passed	Remaining
0	134	134115
1	135	67836
2	137	45838
3	139	34809
4	140	28031
5	142	23667
6	143	20414
7	144	17957
8	145	16056
9	146	14548
10	148	13307
11	149	12272
12	150	11398
13	151	10648
14	152	10006
15	153	9434
16	154	8938
17	155	8490
18	156	8085
19	157	7726
20	158	7401
21	159	7105
22	160	6835
23	161	6585
24	163	6357
25	164	6145
26	164	5945
27	166	5770
28	167	5597
29	168	5436
30	168	5280
31	169	5140
32	170	5005
33	171	4881
34	172	4761
35	173	4650
36	174	4547
37	175	4447
38	176	4351
39	177	4263
40	178	4181
41	179	4102
42	180	4024
43	181	3950
44	182	3880
45	183	3811
46	184	3746
47	185	3686
48	186	3626
49	187	3567
50	188	3512
51	189	3462
52	191	3412
53	192	3365
54	193	3318
55	194	3272
56	195	3227
57	196	3183
58	196	3141
59	197	3101
60	199	3064
61	200	3028
62	201	2993
63	202	2960
64	203	2927
65	204	2895
66	205	2862
67	206	2829
68	207	2799
69	208	2770
70	209	2742
71	210	2716
72	211	2691
73	212	2665
74	213	2638
75	214	2612
76	215	2588
77	217	2565
78	218	2541
79	219	2519
80	220	2496
81	220	2473
82	222	2452
83	222	2430
84	223	2410
85	224	2389
86	225	2369
87	226	2352
88	227	2333
89	228	2314
90	230	2297
91	231	2281
92	232	2264
93	233	2248
94	234	2232
95	235	2216
96	236	2200
97	237	2185
98	238	2171
99	239	2155
100	240	2141
101	241	2126
102	242	2112
103	243	2100
104	244	2086
105	246	2076
106	247	2063
107	248	2054
108	250	2044
109	251	2031
110	253	2026
111	254	2019
112	256	2011
113	257	2001
114	258	1992
115	260	1984
116	261	1973
117	262	1962
118	263	1953
119	264	1942
120	265	1931
121	266	1921
122	268	1910
123	269	1900
124	269	1889
125	270	1879
126	272	1870
127	273	1860
128	274	1851
129	275	1841
130	276	1832
131	277	1823
132	278	1813
133	279	1804
134	280	1796
135	281	1787
136	282	1779
137	283	1771
138	284	1762
139	285	1754
140	286	1745
141	287	1738
142	288	1729
143	289	1722
144	290	1714
145	291	1706
146	292	1699
147	293	1692
148	295	1685
149	296	1677
150	297	1670
151	298	1664
152	299	1658
153	300	1652
154	301	1645
155	303	1640
156	304	1634
157	305	1628
158	306	1622
159	308	1617
160	309	1610
161	310	1607
162	311	1601
163	313	1596
164	314	1590
165	315	1584
166	316	1576
167	317	1570
168	318	1564
169	319	1560
170	320	1555
171	321	1549
172	322	1543
173	324	1538
174	325	1533
175	326	1527
176	327	1521
177	328	1517
178	329	1511
179	330	1506
180	331	1502
181	333	1497
182	334	1492
183	335	1487
184	336	1482
185	337	1476
186	338	1472
187	339	1467
188	340	1462
189	341	1457
190	343	1453
191	344	1449
192	345	1445
193	346	1440
194	347	1435
195	348	1430
196	350	1426
197	351	1422
198	352	1418
199	353	1414
200	354	1410
201	356	1406
202	357	1402
203	358	1398
204	359	1394
205	360	1390
206	361	1385
207	362	1381
208	364	1377
209	365	1373
210	365	1368
211	366	1364
212	368	1360
213	369	1356
214	370	1352
215	371	1348
216	372	1344
217	373	1341
218	375	1338
219	376	1334
220	377	1331
221	378	1327
222	379	1324
223	380	1319
224	381	1315
225	382	1311
226	384	1308
227	385	1304
228	386	1301
229	387	1297
230	388	1294
231	389	1290
232	391	1287
233	392	1283
234	393	1279
235	394	1276
236	395	1273
237	396	1269
238	397	1267
239	399	1263
240	400	1259
241	400	1255
242	401	1252
243	402	1248
244	404	1245
245	405	1241
246	406	1238
247	407	1234
248	408	1231
249	409	1227
250	410	1224
251	411	1221
252	412	1217
253	413	1214
254	414	1211
255	415	1208
256	416	1205
257	418	1202
258	419	1199
259	420	1196
260	421	1192
261	422	1189
