iter	Passed	Remaining
0	0	235
1	0	227
2	1	225
3	1	223
4	2	223
5	2	221
6	3	217
7	3	216
8	3	213
9	4	212
10	4	211
11	5	211
12	5	210
13	6	210
14	6	210
15	6	209
16	7	208
17	7	209
18	8	208
19	8	207
20	9	206
21	9	206
22	9	205
23	10	205
24	10	205
25	11	206
26	11	204
27	12	203
28	12	202
29	12	201
30	13	200
31	13	199
32	14	200
33	14	200
34	15	199
35	15	199
36	15	199
37	16	200
38	16	200
39	17	200
40	17	200
41	18	201
42	18	200
43	19	199
44	19	199
45	20	198
46	20	199
47	21	199
48	21	200
49	22	204
50	24	212
51	24	213
52	25	218
53	26	221
54	27	224
55	28	226
56	29	228
57	29	228
58	30	227
59	30	227
60	31	226
61	31	225
62	32	225
63	33	225
64	33	225
65	34	226
66	34	225
67	35	224
68	36	225
69	36	223
70	36	223
71	37	222
72	37	221
73	38	221
74	38	220
75	39	219
76	39	219
77	40	218
78	40	218
79	41	218
80	42	217
81	42	217
82	43	216
83	43	216
84	44	215
85	44	214
86	45	214
87	45	214
88	46	214
89	46	213
90	47	213
91	48	213
92	48	212
93	49	212
94	49	211
95	50	211
96	50	210
97	51	209
98	51	209
99	52	209
100	52	209
101	53	208
102	53	208
103	54	207
104	55	207
105	55	207
106	56	206
107	56	205
108	57	205
109	57	204
110	58	204
111	58	203
112	59	203
113	60	203
114	60	203
115	61	202
116	61	201
117	62	201
118	62	200
119	63	200
120	63	199
121	64	199
122	65	199
123	65	198
124	66	198
125	66	197
126	67	197
127	67	196
128	68	196
129	68	195
130	69	194
131	69	193
132	70	193
133	70	192
134	71	192
135	71	191
136	72	191
137	72	190
138	73	189
139	73	189
140	74	188
141	74	188
142	75	187
143	75	187
144	76	186
145	76	186
146	77	185
147	77	184
148	78	184
149	78	183
150	79	183
151	79	182
152	80	182
153	80	181
154	81	181
155	82	181
156	82	180
157	83	179
158	83	179
159	84	178
160	84	178
161	85	177
162	85	177
163	86	176
164	86	175
165	87	175
166	87	175
167	88	174
168	88	173
169	89	173
170	89	172
171	90	172
172	91	172
173	91	171
174	92	171
175	92	170
176	93	169
177	93	169
178	94	168
179	94	168
180	94	167
181	95	166
182	95	166
183	96	165
184	96	164
185	97	164
186	97	163
187	98	163
188	99	162
189	99	162
190	99	161
191	100	160
192	100	160
193	101	159
194	101	158
195	101	157
196	102	157
197	102	156
198	103	156
199	103	155
200	104	155
201	104	154
202	105	154
203	105	153
204	106	153
205	107	153
206	107	152
207	108	152
208	109	151
209	109	151
210	110	150
211	110	150
212	111	149
213	111	149
214	112	148
215	112	148
216	113	147
217	113	146
218	114	146
219	114	145
220	115	145
221	115	144
222	116	144
223	116	144
224	117	143
225	117	142
226	118	142
227	118	141
228	119	141
229	120	141
230	120	140
231	121	140
232	121	139
233	122	139
234	123	138
235	123	138
236	124	137
237	124	137
238	125	136
239	125	136
240	126	135
241	126	134
242	126	134
243	127	133
244	127	132
245	128	132
246	128	131
247	128	131
248	129	130
249	129	129
250	130	129
251	130	128
252	131	127
253	131	127
254	132	127
255	132	126
256	133	126
257	133	125
258	134	125
259	134	124
260	135	123
261	135	123
262	136	122
263	136	122
264	137	121
265	137	121
266	138	120
267	138	120
268	139	119
269	140	119
270	140	118
271	141	118
272	141	117
273	142	117
274	142	116
275	143	116
276	143	115
277	144	115
278	144	114
279	145	114
280	146	113
281	146	113
282	147	112
283	147	112
284	148	111
285	148	111
286	149	110
287	149	110
288	150	109
289	151	109
290	151	108
291	152	108
292	152	107
293	153	107
294	153	106
295	154	106
296	155	105
297	155	105
298	156	104
299	156	104
300	157	103
301	157	103
302	158	103
303	158	102
304	159	102
305	160	101
306	160	100
307	161	100
308	161	99
309	162	99
310	162	98
311	163	98
312	163	97
313	164	97
314	165	96
315	165	96
316	166	95
317	166	95
318	167	94
319	167	94
320	168	93
321	168	93
322	169	92
323	169	92
324	170	91
325	170	91
326	171	90
327	171	90
328	172	89
329	172	89
330	173	88
331	173	87
332	174	87
333	174	86
334	174	86
335	175	85
336	175	85
337	176	84
338	176	83
339	177	83
340	177	82
341	178	82
342	178	81
343	179	81
344	179	80
345	180	80
346	180	79
347	181	79
348	181	78
349	182	78
350	182	77
351	182	76
352	183	76
353	183	75
354	184	75
355	184	74
356	185	74
357	185	73
358	186	73
359	186	72
360	186	71
361	187	71
362	187	70
363	188	70
364	188	69
365	189	69
366	189	68
367	189	68
368	190	67
369	190	67
370	191	66
371	191	65
372	192	65
373	192	64
374	193	64
375	193	63
376	193	63
377	194	62
378	194	62
379	195	61
380	195	61
381	196	60
382	196	60
383	197	59
384	197	59
385	198	58
386	198	57
387	199	57
388	199	56
389	200	56
390	200	55
391	201	55
392	201	54
393	202	54
394	202	53
395	202	53
396	203	52
397	203	52
398	204	51
399	205	51
400	205	50
401	205	50
402	206	49
403	206	49
404	207	48
405	207	48
406	207	47
407	208	46
408	208	46
409	209	45
410	209	45
411	210	44
412	210	44
413	210	43
414	211	43
415	211	42
416	212	42
417	212	41
418	213	41
419	213	40
420	213	40
421	214	39
422	214	39
423	215	38
424	215	38
425	216	37
426	216	37
427	216	36
428	217	35
429	217	35
430	218	34
431	218	34
432	218	33
433	219	33
434	219	32
435	220	32
436	220	31
437	221	31
438	221	30
439	222	30
440	222	29
441	223	29
442	223	28
443	224	28
444	224	27
445	225	27
446	225	26
447	226	26
448	226	25
449	227	25
450	228	24
451	228	24
452	228	23
453	229	23
454	229	22
455	230	22
456	230	21
457	231	21
458	231	20
459	232	20
460	232	19
461	233	19
462	233	18
463	234	18
464	234	17
465	235	17
466	235	16
467	236	16
468	236	15
469	237	15
470	237	14
471	238	14
472	238	13
473	239	13
474	239	12
475	240	12
476	240	11
477	241	11
478	241	10
479	242	10
480	242	9
481	243	9
482	243	8
483	244	8
484	244	7
485	245	7
486	245	6
487	246	6
488	246	5
489	247	5
490	247	4
491	248	4
492	248	3
493	249	3
494	250	2
495	250	2
496	251	1
497	251	1
498	252	0
499	252	0
