iter	Logloss
0	0.6884664128
1	0.6850297494
2	0.6812557122
3	0.6775555786
4	0.6742552305
5	0.6698434979
6	0.6661242718
7	0.6627845874
8	0.6589811901
9	0.6553930043
10	0.6514245997
11	0.6485740411
12	0.6452479313
13	0.6420696585
14	0.6386918443
15	0.6352211907
16	0.6314047546
17	0.6281675522
18	0.6250124175
19	0.622323577
20	0.6188863985
21	0.6164129749
22	0.6139651601
23	0.6111560624
24	0.6084922257
25	0.6059320231
26	0.6027798892
27	0.6003498822
28	0.5975671261
29	0.5953429663
30	0.5927027062
31	0.5897269397
32	0.5873799704
33	0.5856012956
34	0.5833860596
35	0.5807961319
36	0.5783016967
37	0.5761081264
38	0.5738092889
39	0.5715551972
40	0.569759139
41	0.5671291545
42	0.564900438
43	0.5623239369
44	0.5605123983
45	0.5583126417
46	0.5570542852
47	0.5554525155
48	0.5533068028
49	0.551568388
50	0.5497259659
51	0.5478328063
52	0.5453663628
53	0.5437106835
54	0.5421976383
55	0.5406229139
56	0.5389867381
57	0.5371182228
58	0.5351327433
59	0.5336218484
60	0.5316944491
61	0.5294880794
62	0.5276566968
63	0.5260192464
64	0.525026772
65	0.5235155047
66	0.5219039514
67	0.5200025912
68	0.5187534261
69	0.5170949252
70	0.5157564916
71	0.5144844993
72	0.5133029366
73	0.5126682506
74	0.5109339152
75	0.5099437628
76	0.508906636
77	0.5078147028
78	0.5065385666
79	0.5049540864
80	0.5035420491
81	0.5022376398
82	0.5008071923
83	0.4995226199
84	0.497999872
85	0.497223712
86	0.4964613103
87	0.4950142514
88	0.4939517403
89	0.492748742
90	0.4915991118
91	0.4907004116
92	0.489642431
93	0.4884515318
94	0.4872341106
95	0.4859831628
96	0.4854100379
97	0.4841984595
98	0.4832360408
99	0.4820177244
100	0.4809607656
101	0.4799213613
102	0.4790461122
103	0.4780700111
104	0.4765581525
105	0.4754354445
106	0.4745319134
107	0.4735111725
108	0.4727599373
109	0.4720112129
110	0.4710224921
111	0.4701838194
112	0.4691400666
113	0.4680101791
114	0.4673445644
115	0.466638439
116	0.4658293568
117	0.4646680554
118	0.4640187423
119	0.4630787916
120	0.4623042359
121	0.461338183
122	0.4603443414
123	0.459557043
124	0.4588635501
125	0.4583116062
126	0.4575277045
127	0.4570187462
128	0.4562712831
129	0.4555396732
130	0.4548449427
131	0.4539991898
132	0.4529328051
133	0.4520619238
134	0.4513708603
135	0.4506256497
136	0.4500659797
137	0.4494106492
138	0.4487714641
139	0.4479971881
140	0.4472514588
141	0.4463972735
142	0.4457127913
143	0.4451011758
144	0.4443756558
145	0.4438006824
146	0.4430562945
147	0.4423880518
148	0.4416312355
149	0.4409636796
150	0.4404324953
151	0.4397932443
152	0.4391469627
153	0.4383888328
154	0.4380525868
155	0.4372118063
156	0.4365422705
157	0.4358231845
158	0.4353143608
159	0.4347083415
160	0.4342526969
161	0.4334250184
162	0.4327863667
163	0.4321798054
164	0.4314383106
165	0.4309231315
166	0.4302284995
167	0.4296391511
168	0.4292430626
169	0.4288309885
170	0.4283419834
171	0.4276671729
172	0.4271096803
173	0.4263870285
174	0.4259589054
175	0.4253974011
176	0.4249239313
177	0.4243019116
178	0.4238885643
179	0.4235179702
180	0.4229745107
181	0.4225387112
182	0.4219923028
183	0.4213389703
184	0.4209616151
185	0.4203789268
186	0.4197880251
187	0.4193291446
188	0.418870708
189	0.4182369718
190	0.4175834735
191	0.4170560839
192	0.4162398427
193	0.4157299968
194	0.4153307827
195	0.4147884747
196	0.4142455129
197	0.413892536
198	0.4134475501
199	0.4128601251
200	0.4123294972
201	0.4118717111
202	0.4113807396
203	0.4109084724
204	0.4106283145
205	0.4100241174
206	0.4094168314
207	0.4089200122
208	0.4085019351
209	0.4079433731
210	0.4074230809
211	0.4069655437
212	0.4065649289
213	0.4059461031
214	0.4055806177
215	0.4050356457
216	0.4045610533
217	0.4040265034
218	0.4036335457
219	0.4030673992
220	0.4026554926
221	0.4023030061
222	0.4019734417
223	0.4013947864
224	0.4010433491
225	0.4006988303
226	0.4004201676
227	0.3998969283
228	0.3996590056
229	0.3994896497
230	0.3991642453
231	0.3989349797
232	0.3983593046
233	0.3980364976
234	0.3973793163
235	0.3968878505
236	0.3965257296
237	0.3959775014
238	0.395658589
239	0.3952939045
240	0.3948886645
241	0.3945401834
242	0.394160366
243	0.3939024715
244	0.3935202703
245	0.3929759656
246	0.3924565368
247	0.3920394932
248	0.3916511843
249	0.3913501842
250	0.3910295832
251	0.390620638
252	0.3903946233
253	0.3900894344
254	0.389663214
255	0.3895100004
256	0.3892553584
257	0.3890223088
258	0.388689493
259	0.388423305
260	0.3877847166
261	0.3871895233
262	0.3868994127
263	0.3865744655
264	0.3860586178
265	0.3855812675
266	0.385324515
267	0.3851057782
268	0.3848183555
269	0.3845839216
270	0.3843317708
271	0.3839036848
272	0.3836064619
273	0.3830359134
274	0.3825948802
275	0.3821826951
276	0.382022613
277	0.3817282041
278	0.3812902935
279	0.3808815476
280	0.3806025193
281	0.3801409545
282	0.3799651443
283	0.3795912748
284	0.3792708969
285	0.3789552544
286	0.3787084807
287	0.3784384486
288	0.378211185
289	0.3780335864
290	0.377773364
291	0.3775232207
292	0.377088107
293	0.3767030349
294	0.3765041556
295	0.3761649291
296	0.3760160643
297	0.375506921
298	0.3750065922
299	0.3746998756
300	0.3743661431
301	0.374019296
302	0.3737680421
303	0.3734511849
304	0.3732536836
305	0.3730555029
306	0.3726586279
307	0.3723251134
308	0.3720011088
309	0.3716960286
310	0.3712432848
311	0.3709184036
312	0.3705381764
313	0.3702143465
314	0.3700062224
315	0.3697952491
316	0.369431524
317	0.3690590634
318	0.3687966595
319	0.3686260177
320	0.368380869
321	0.3679919119
322	0.3678455381
323	0.3674290955
324	0.367112932
325	0.3665656688
326	0.3661709551
327	0.365887858
328	0.3654079695
329	0.3651573913
330	0.3649628998
331	0.3647340106
332	0.3644172785
333	0.3641986427
334	0.363903682
335	0.3635833795
336	0.3633533763
337	0.3629451743
338	0.3627482673
339	0.3625567425
340	0.362403581
341	0.3620456635
342	0.3618741449
343	0.3614101874
344	0.3611316064
345	0.3608564521
346	0.3606547181
347	0.3602770575
348	0.359914072
349	0.3597396816
350	0.3594556864
351	0.3592089964
352	0.3587326472
353	0.3585261906
354	0.3582816657
355	0.3580377318
356	0.3577193316
357	0.3574295202
358	0.3571245707
359	0.356753051
360	0.3565649636
361	0.3563036104
362	0.3559306592
363	0.3556314689
364	0.3553562789
365	0.3550136834
366	0.3547758843
367	0.3544404466
368	0.3541513418
369	0.3539339932
370	0.3537615182
371	0.3534977768
372	0.3532869074
373	0.3529815417
374	0.3527065984
375	0.3525411248
376	0.352334447
377	0.3521921659
378	0.351962697
379	0.3517397929
380	0.3515042241
381	0.3511880415
382	0.3506592563
383	0.3503865775
384	0.3502639473
385	0.3501070908
386	0.3496888102
387	0.3493164214
388	0.3490465707
389	0.3489408942
390	0.3487380616
391	0.3483315603
392	0.3481295875
393	0.3477079722
394	0.3475190786
395	0.3472323183
396	0.346980321
397	0.3467226026
398	0.3463968778
399	0.3462411809
400	0.3460748153
401	0.3458849926
402	0.3456672329
403	0.3454544801
404	0.3451047081
405	0.3447023128
406	0.3445336811
407	0.3443218102
408	0.3440693539
409	0.3438261701
410	0.3434950372
411	0.3433199735
412	0.3430458905
413	0.3429329726
414	0.3427055416
415	0.342557729
416	0.3421856279
417	0.3419978251
418	0.3416070628
419	0.3414345755
420	0.3412439256
421	0.3409356501
422	0.340665492
423	0.3403392338
424	0.3399996151
425	0.339759268
426	0.3396183948
427	0.3395165218
428	0.3392863321
429	0.3389852416
430	0.3388027443
431	0.338587278
432	0.3383179642
433	0.3380925147
434	0.3377775695
435	0.337516689
436	0.3372633949
437	0.3370952673
438	0.3367378437
439	0.3364474098
440	0.3362473247
441	0.3358728111
442	0.3356436169
443	0.3353888796
444	0.3351828883
445	0.3349192105
446	0.3346334873
447	0.3344531839
448	0.3343056262
449	0.3341306521
450	0.3338341314
451	0.3336814046
452	0.3334903765
453	0.333318732
454	0.3332228179
455	0.3330772815
456	0.3326680739
457	0.3324184085
458	0.332196031
459	0.3320128747
460	0.3319471032
461	0.3316407764
462	0.3314583423
463	0.331168574
464	0.3309966706
465	0.3308180111
466	0.3305101207
467	0.330207986
468	0.3300831305
469	0.3298388154
470	0.3297971541
471	0.3293893425
472	0.3291903856
473	0.3288443292
474	0.3286696103
475	0.3283918274
476	0.3279338483
477	0.3276256027
478	0.3274001635
479	0.3271944014
480	0.3269883109
481	0.3268140905
482	0.3266337284
483	0.3262628289
484	0.3260901174
485	0.325937621
486	0.3257017946
487	0.3255528795
488	0.325203113
489	0.3250822475
490	0.3248623516
491	0.3247155739
492	0.3246416925
493	0.3244619704
494	0.3242436469
495	0.3241264369
496	0.3239700329
497	0.3237829219
498	0.3235919645
499	0.3232769794
500	0.3229666363
501	0.3227787048
502	0.322411045
503	0.3221619614
504	0.3219650836
505	0.3218445701
506	0.3216463037
507	0.3213350935
508	0.321165626
509	0.3208648706
510	0.3206628933
511	0.3204171067
512	0.3202796798
513	0.3199810398
514	0.319809899
515	0.319711971
516	0.3196035045
517	0.3194555141
518	0.3191065771
519	0.3188657629
520	0.3185156774
521	0.3182839132
522	0.3180676353
523	0.3177992859
524	0.3176213626
525	0.3174244209
526	0.3171571601
527	0.3170492881
528	0.3167910982
529	0.3166674427
530	0.3165247515
531	0.316257862
532	0.3160909921
533	0.3158492053
534	0.3155124402
535	0.3152735194
536	0.3151083387
537	0.3150234886
538	0.3148536548
539	0.3146651634
540	0.3143556501
541	0.3141095113
542	0.3139373396
543	0.313759017
544	0.313480492
545	0.3134155258
546	0.3131659829
547	0.3128841028
548	0.312626081
549	0.3123505201
550	0.3122001549
551	0.3120000479
552	0.3119034712
553	0.3116433289
554	0.3115310145
555	0.3112779123
556	0.3110403264
557	0.3106578954
558	0.3104295174
559	0.3101398613
560	0.3099941891
561	0.3097759214
562	0.3095954275
563	0.3093368917
564	0.3091956393
565	0.3090310546
566	0.3089071395
567	0.3087179445
568	0.3083562001
569	0.3081636945
570	0.3079394299
571	0.3077610891
572	0.3076174985
573	0.307442809
574	0.3072746424
575	0.3071967053
576	0.3070177659
577	0.3067774699
578	0.3066160758
579	0.3063965908
580	0.3061215999
581	0.3059750093
582	0.3058531497
583	0.3056242649
584	0.3054388311
585	0.3052580397
586	0.3050655387
587	0.3048966582
588	0.3046801531
589	0.3043289396
590	0.3042340703
591	0.3039276388
592	0.303837636
593	0.3036029154
594	0.303318616
595	0.3030963711
596	0.3029778572
597	0.3027206682
598	0.3025991294
599	0.3023761933
600	0.3021334456
601	0.3019691283
602	0.3019159379
603	0.3016238432
604	0.3013836185
605	0.3010545095
606	0.3009231327
