iter	Passed	Remaining
0	129	128955
1	131	65453
2	133	44413
3	135	33849
4	137	27439
5	139	23183
6	143	20296
7	145	18026
8	147	16188
9	148	14695
10	150	13496
11	152	12544
12	154	11716
13	156	10995
14	158	10388
15	160	9852
16	161	9362
17	163	8938
18	165	8547
19	167	8187
20	168	7869
21	170	7572
22	172	7306
23	173	7057
24	174	6818
25	176	6606
26	178	6426
27	180	6261
28	182	6097
29	183	5948
30	185	5813
31	187	5680
32	189	5557
33	191	5435
34	192	5317
35	194	5203
36	196	5103
37	198	5012
38	199	4927
39	201	4835
40	202	4744
41	204	4656
42	205	4577
43	207	4501
44	208	4422
45	209	4352
46	211	4283
47	212	4219
48	214	4158
49	215	4101
50	217	4042
51	218	3988
52	220	3941
53	222	3898
54	224	3855
55	226	3816
56	228	3774
57	229	3733
58	231	3691
59	232	3647
60	234	3607
61	236	3572
62	237	3537
63	239	3504
64	240	3466
65	242	3433
66	244	3402
67	246	3382
68	248	3351
69	249	3320
70	251	3289
71	253	3261
72	254	3232
73	256	3205
74	257	3177
75	259	3151
76	260	3127
77	262	3103
78	264	3078
79	265	3058
80	267	3039
81	269	3018
82	271	2997
83	272	2976
84	274	2953
85	275	2931
86	277	2911
87	279	2892
88	280	2873
89	282	2854
90	284	2839
91	286	2825
92	288	2809
93	289	2792
94	291	2777
95	293	2764
96	295	2748
97	297	2735
98	298	2721
99	300	2704
100	302	2691
101	304	2676
102	306	2665
103	307	2652
104	309	2637
105	310	2622
106	312	2609
107	314	2595
108	315	2582
109	317	2569
110	319	2558
111	321	2549
112	323	2539
113	325	2527
114	326	2516
115	328	2503
116	329	2490
117	331	2478
118	333	2466
119	334	2454
120	336	2441
121	337	2429
122	339	2417
123	340	2408
124	342	2399
125	344	2390
126	346	2381
127	347	2369
128	349	2359
129	351	2349
130	352	2338
131	354	2328
132	355	2318
133	357	2308
134	358	2298
135	360	2288
136	361	2279
137	363	2269
138	364	2260
139	366	2250
140	367	2240
141	369	2232
142	371	2225
143	372	2217
144	374	2207
145	376	2199
146	377	2192
147	379	2186
148	381	2178
149	382	2169
150	384	2160
151	385	2151
152	387	2142
153	388	2135
154	390	2127
155	392	2121
156	393	2112
157	394	2104
158	396	2097
159	397	2089
160	399	2082
161	400	2074
162	402	2065
163	403	2058
164	405	2050
165	406	2042
166	407	2034
167	409	2026
168	410	2019
169	412	2012
170	413	2005
171	415	1999
172	417	1994
173	418	1987
174	420	1981
175	421	1974
176	423	1967
177	424	1960
178	425	1953
179	427	1945
180	428	1939
181	429	1932
182	431	1925
183	432	1918
184	434	1912
185	435	1906
186	437	1901
187	438	1896
188	440	1891
189	442	1887
190	444	1881
191	446	1877
192	447	1872
193	449	1867
194	451	1863
195	453	1858
196	454	1853
197	456	1847
198	457	1841
199	458	1835
200	460	1830
201	461	1824
202	463	1818
203	464	1812
204	466	1807
205	467	1802
206	469	1797
207	470	1791
208	471	1786
209	473	1780
210	474	1775
211	476	1770
