iter	Passed	Remaining
0	3	3287
1	6	3131
2	10	3375
3	13	3291
4	16	3212
5	18	3143
6	21	3117
7	24	3080
8	27	3030
9	30	3005
10	33	2991
11	35	2962
12	38	2947
13	41	2928
14	44	2899
15	46	2872
16	49	2856
17	52	2845
18	54	2837
19	57	2834
20	60	2820
21	63	2813
22	66	2809
23	68	2802
24	71	2797
25	74	2786
26	76	2772
27	79	2765
28	83	2784
29	85	2780
30	88	2774
31	91	2767
32	94	2775
33	97	2769
34	100	2766
35	103	2767
36	105	2755
37	108	2738
38	110	2722
39	112	2711
40	115	2703
41	118	2697
42	120	2690
43	123	2686
44	126	2681
45	129	2678
46	131	2665
47	133	2653
48	136	2640
49	138	2628
50	140	2615
51	142	2606
52	145	2598
53	148	2596
54	150	2591
55	153	2586
56	156	2581
57	158	2575
58	161	2568
59	163	2563
60	166	2558
61	168	2552
62	171	2549
63	174	2545
64	176	2541
65	179	2539
66	181	2529
67	184	2526
68	186	2521
69	189	2516
70	191	2512
71	194	2507
72	197	2505
73	199	2495
74	201	2490
75	204	2485
76	207	2481
77	209	2475
78	211	2467
79	214	2462
80	216	2459
81	219	2452
82	221	2448
83	224	2444
84	226	2442
85	229	2435
86	231	2431
87	234	2430
88	236	2423
89	239	2416
90	241	2410
91	243	2407
92	246	2402
93	248	2397
94	251	2392
95	253	2385
96	255	2380
97	257	2374
98	260	2371
99	262	2365
100	265	2360
101	267	2354
102	270	2352
103	272	2349
104	275	2345
105	277	2339
106	279	2334
107	282	2332
108	284	2327
109	287	2325
110	289	2322
111	292	2319
112	295	2317
113	297	2313
114	299	2308
115	302	2304
116	304	2299
117	307	2294
118	309	2289
119	312	2288
120	314	2284
121	317	2282
122	319	2280
123	322	2278
124	324	2272
125	326	2268
126	329	2262
127	331	2259
128	334	2257
129	336	2254
130	339	2250
131	341	2247
132	344	2243
133	346	2242
134	349	2238
135	351	2234
136	354	2230
137	356	2228
138	358	2223
139	361	2219
140	363	2216
141	366	2214
