,Spd
Spd,1.0
chaksun2,0.254698259635307
chaksun3,0.2503079914942452
chaksun1,0.24367460264668542
chaksun5,0.23574123838779312
chaksun4,0.22613143888998483
ilsu,0.12717611961484743
birthday,0.11582746543678477
rcDate,0.05052468501782345
wgJk,0.04159778625368401
owNo,0.027530757335856623
hrNo,0.025958122328847356
rankRise,-0.0012245219364715658
buS1fTime,-0.009245913420930056
buS1fAccTime,-0.009245913420930056
seS1fAccTime,-0.021455231918193755
bu_4_2fTime,-0.02288298910535561
bu_3fGTime,-0.02850303935032879
chulNo,-0.02942783873119485
bu_2fGTime,-0.031294171025025214
bu_1fGTime,-0.032468885017572044
wgBudam,-0.03430440138447881
plcOdds,-0.045840789880037064
winOdds,-0.05453719257037249
buG1fAccTime,-0.07082793376685093
Unnamed: 0,-0.07525715629926756
buG2fAccTime,-0.08035939935673302
buS1fOrd,-0.08565725078692077
buG3fAccTime,-0.09672534727373833
buG3fOrd,-0.11484910735072945
sjS1fOrd,-0.13184694027380994
seG1fAccTime,-0.13379589141089804
sj_3cOrd,-0.14368404084183697
buG2fOrd,-0.14406606501739308
buG6fOrd,-0.151094733185865
sjG3fOrd,-0.16227360638605606
bu_6_4fTime,-0.16344364706293094
se_4cAccTime,-0.1673738059760194
bu_8_6fTime,-0.1730774662859467
buG6fAccTime,-0.1730774662859467
sj_4cOrd,-0.1746733483690442
seG3fAccTime,-0.18458425687393615
buG4fAccTime,-0.18878673127488027
buG1fOrd,-0.19924209443153962
buG4fOrd,-0.1996936547945005
se_3cAccTime,-0.24123581050559906
age,-0.25972464938620105
sjG1fOrd,-0.2650277114380327
rcNo,-0.26681858703386296
sj_1cOrd,-0.2701466549374084
sj_2cOrd,-0.270441663660419
se_1cAccTime,-0.3055681672732725
se_2cAccTime,-0.3057161981307698
rcDist,-0.4889691742149711
ord,-0.5259721202661547
rcTime,-0.6139866723916702
buG8fAccTime,
buG8fOrd,
bu_10_8fTime,
buga1,
buga2,
buga3,
jeG1fTime,
jeG3fTime,
jeS1fTime,
je_1cTime,
je_2cTime,
je_3cTime,
je_4cTime,
rating,
