Unnamed: 0,age,ageCond,birthday,buG1fAccTime,buG1fOrd,buG2fAccTime,buG2fOrd,buG3fAccTime,buG3fOrd,buG4fAccTime,buG4fOrd,buG6fAccTime,buG6fOrd,buG8fAccTime,buG8fOrd,buS1fAccTime,buS1fOrd,buS1fTime,bu_10_8fTime,bu_1fGTime,bu_2fGTime,bu_3fGTime,bu_4_2fTime,bu_6_4fTime,bu_8_6fTime,budam,buga1,buga2,buga3,chaksun1,chaksun2,chaksun3,chaksun4,chaksun5,chulNo,diffUnit,hrName,hrNo,hrTool,ilsu,jeG1fTime,jeG3fTime,jeS1fTime,je_1cTime,je_2cTime,je_3cTime,je_4cTime,jkName,jkNo,meet,name,ord,ordBigo,owName,owNo,plcOdds,prizeCond,rank,rankRise,rating,rcDate,rcDay,rcDist,rcName,rcNo,rcTime,seG1fAccTime,seG3fAccTime,seS1fAccTime,se_1cAccTime,se_2cAccTime,se_3cAccTime,se_4cAccTime,sex,sjG1fOrd,sjG3fOrd,sjS1fOrd,sj_1cOrd,sj_2cOrd,sj_3cOrd,sj_4cOrd,trName,trNo,track,weather,wgBudam,wgBudamBigo,wgHr,wgJk,winOdds,Spd,date,ills
7356,3,3세,20140329,51.7,10,39.1,10,26.6,9,0.0,0,0.0,0,0.0,0,14.5,9,14.5,0.0,13.3,25.9,38.4,24.6,0.0,0.0,별정A,0,0,0,22800000,8400000,5200000,2000000,1600000,3,목,넵튠,35404,"망사+, 승인재갈+",15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,김정웅,80481,부경,한국,9,-,장석노,110055,25.8,R0~0,국6등급,0,0,20170303,금요일,1000,일반,1,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,최기홍,070129,다습 (10%),맑음,56.0,-,427(-7),0,75.0,15.384615384615385,2017-03-03,0
6429,3,3세,20140329,64.6,8,51.6,9,38.9,9,26.5,9,0.0,0,0.0,0,14.7,9,14.7,0.0,13.7,26.7,39.4,25.1,26.5,0.0,별정C,0,0,0,22800000,8400000,5200000,2000000,1600000,11,1½,넵튠,35404,"망사, 승인재갈",25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,최은경,80566,부경,한국,8,-,장석노,110055,7.9,R0~0,국6등급,0,0,20170407,금요일,1200,일반,2,78.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,최기홍,070129,포화 (17%),맑음,51.5,-,419(-8),-3,81.7,15.325670498084293,2017-04-07,0
5938,3,연령오픈,20140329,92.8,10,78.4,9,64.7,9,51.8,9,26.6,5,0.0,0,14.8,7,14.8,0.0,14.8,29.2,42.9,26.6,25.2,26.6,별정A,0,0,0,12540000,4620000,2860000,1100000,880000,1,2½,넵튠,35404,"망사, 승인재갈",31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,안드레아,80575,부경,한국,10,-,장석노,110055,11.7,R0~0,국6등급,0,0,20170428,금요일,1600,일반,4,107.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,최기홍,070129,양호 (6%),맑음,56.0,-,426(+7),0,108.1,14.869888475836431,2017-04-28,0
5710,4,연령오픈,20140329,70.4,7,57.0,8,44.1,8,31.5,7,8.4,5,0.0,0,14.2,5,14.2,0.0,14.6,28.0,40.9,25.5,23.1,8.4,별정A,0,0,0,13680000,5040000,3120000,1200000,960000,2,½,넵튠,35404,망사눈,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,정동철,80482,부경,한국,8,-,장석노,110055,5.1,R0~0,국6등급,0,0,20180427,금요일,1300,일반,2,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,양호 (9%),맑음,56.0,-,430(+4),0,25.2,15.294117647058824,2018-04-27,0
5380,4,3세이상,20140329,63.4,6,50.3,7,37.8,7,25.8,7,0.0,0,0.0,0,14.4,10,14.4,0.0,14.3,27.4,39.9,24.5,25.8,0.0,별정A,0,0,0,13680000,5040000,3120000,1200000,960000,4,1¼,넵튠,35404,망사눈,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,정동철,80482,부경,한국,7,-,장석노,110055,5.3,R0~0,국6등급,0,0,20180511,금요일,1200,일반,2,77.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,양호 (6%),맑음,56.0,-,428(-2),0,35.7,15.444015444015443,2018-05-11,0
5048,4,3세이상,20140329,50.8,10,38.2,10,26.1,10,0.0,0,0.0,0,0.0,0,14.4,10,14.4,0.0,13.2,25.8,37.9,23.8,0.0,0.0,별정A,0,0,0,13680000,5040000,3120000,1200000,960000,8,½,넵튠,35404,망사눈,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,정동철,80482,부경,한국,8,-,장석노,110055,2.6,R0~0,국6등급,0,0,20180525,금요일,1000,일반,2,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,양호 (9%),맑음,56.0,-,428(),0,34.5,15.625,2018-05-25,0
4748,4,3세이상,20140329,69.8,5,56.7,4,44.1,5,31.7,6,8.4,2,0.0,0,14.2,5,14.2,0.0,14.0,27.1,39.7,25.0,23.3,8.4,별정C,0,0,0,13680000,5040000,3120000,1200000,960000,3,½,넵튠,35404,망사눈,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,전진구,80580,부경,한국,8,-,장석노,110055,5.5,R0~0,국6등급,0,0,20180608,금요일,1300,일반,1,83.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,건조 (3%),맑음,53.0,-,426(-2),-2,55.3,15.513126491646778,2018-06-08,0
4299,4,3세이상,20140329,70.2,7,57.2,6,44.5,7,31.9,7,8.4,4,0.0,0,14.3,5,14.3,0.0,14.1,27.1,39.8,25.3,23.5,8.4,별정C,0,0,0,13680000,5040000,3120000,1200000,960000,11,¾,넵튠,35404,망사눈,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,전진구,80580,부경,한국,7,-,장석노,110055,4.7,R0~0,국6등급,0,0,20180629,금요일,1300,일반,3,84.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,포화 (17%),흐림,53.0,-,422(-4),-2,55.2,15.42111506524318,2018-06-29,0
3953,4,연령오픈,20140329,63.8,8,51.0,9,38.2,9,26.1,10,0.0,0,0.0,0,14.9,10,14.9,0.0,13.5,26.3,39.1,24.9,26.1,0.0,별정A,0,0,0,13680000,5040000,3120000,1200000,960000,8,머리,넵튠,35404,망사눈,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,박재이,80546,부경,한국,7,-,장석노,110055,31.7,R0~0,국6등급,0,0,20180713,금요일,1200,일반,1,77.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,건조 (4%),맑음,55.0,-,426(+4),-1,120.8,15.523932729624839,2018-07-13,0
3615,4,연령오픈,20140329,70.9,7,57.3,6,44.2,6,31.8,6,9.2,7,0.0,0,14.9,7,14.9,0.0,14.8,28.4,41.5,25.5,22.6,9.2,별정C,0,0,0,13680000,5040000,3120000,1200000,960000,2,6,넵튠,35404,망사눈,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,스위니,80585,부경,한국,7,-,장석노,110055,6.7,R0~0,국6등급,0,0,20180727,금요일,1300,일반,4,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,건조 (3%),맑음,55.0,-,429(+3),0,21.1,15.169194865810969,2018-07-27,0
